figure,panel,dataset,vertex_deletion_ratio,vertex_deletion_percent,yan_2017,li_2021,zhang_2025,lin_2018,xi_2022,proposed
Figure_13,a,Railways,0.0,0,0.96688,1.0000,1.0000,1.0000,1.0000,1.0000
Figure_13,a,Railways,0.1,10,0.9648,1.0000,0.8758,0.7783,0.6514,1.0000
Figure_13,a,Railways,0.2,20,0.4922,1.0000,0.8405,0.5501,0.5781,1.0000
Figure_13,a,Railways,0.3,30,0.4844,1.0000,0.8316,0.5798,0.5625,1.0000
Figure_13,a,Railways,0.4,40,0.4795,0.4678,0.8255,0.5805,0.5381,0.9920
Figure_13,a,Railways,0.5,50,0.4775,0.4883,0.8446,0.5669,0.5098,0.9747
Figure_13,b,Building,0.0,0,0.9561,1.0000,0.5386,0.5600,0.6270,1.0000
Figure_13,b,Building,0.1,10,0.5020,1.0000,0.5386,0.7828,0.6143,1.0000
Figure_13,b,Building,0.2,20,0.4902,1.0000,0.5464,0.5354,0.5840,1.0000
Figure_13,b,Building,0.3,30,0.4502,1.0000,0.5370,0.5534,0.5977,0.9992
Figure_13,b,Building,0.4,40,0.4629,1.0000,0.5619,0.5451,0.5977,0.9936
Figure_13,b,Building,0.5,50,0.4863,0.4639,0.5641,0.5557,0.5898,0.9801
Figure_13,c,Landuse,0.0,0,0.9775,1.0000,1.0000,0.9800,0.9004,1.0000
Figure_13,c,Landuse,0.1,10,0.9736,1.0000,0.6132,0.7843,0.6465,1.0000
Figure_13,c,Landuse,0.2,20,0.9717,1.0000,0.5821,0.5517,0.5898,1.0000
Figure_13,c,Landuse,0.3,30,0.9609,0.4805,0.5812,0.5486,0.5898,1.0000
Figure_13,c,Landuse,0.4,40,0.9561,0.5000,0.5612,0.5588,0.5596,0.9921
Figure_13,c,Landuse,0.5,50,0.4551,0.4951,0.5682,0.5715,0.5400,0.9708
Figure_13,d,Boundary,0.0,0,1.0000,1.0000,1.0000,0.6100,1.0000,1.0000
Figure_13,d,Boundary,0.1,10,1.0000,1.0000,0.7126,0.7747,0.5146,1.0000
Figure_13,d,Boundary,0.2,20,1.0000,1.0000,0.6132,0.5568,0.5107,0.9960
Figure_13,d,Boundary,0.3,30,1.0000,1.0000,0.6022,0.5747,0.5215,0.9857
Figure_13,d,Boundary,0.4,40,1.0000,1.0000,0.6039,0.5433,0.5010,0.9495
Figure_13,d,Boundary,0.5,50,1.0000,1.0000,0.6845,0.5491,0.4961,0.9097
Figure_13,e,Road,0.0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Figure_13,e,Road,0.1,10,0.4951,1.0000,0.8091,0.7696,0.5703,0.9992
Figure_13,e,Road,0.2,20,0.4941,0.4824,0.7835,0.5179,0.5195,0.9913
Figure_13,e,Road,0.3,30,0.4902,0.4863,0.7616,0.5625,0.4990,0.9786
Figure_13,e,Road,0.4,40,0.4844,0.4902,0.7846,0.5430,0.5205,0.9541
Figure_13,e,Road,0.5,50,0.4980,0.4990,0.7766,0.5368,0.5342,0.9097
Figure_13,f,Lake,0.0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Figure_13,f,Lake,0.1,10,1.0000,1.0000,0.5764,0.7630,0.5391,1.0000
Figure_13,f,Lake,0.2,20,1.0000,1.0000,0.5805,0.5719,0.5176,0.9992
Figure_13,f,Lake,0.3,30,1.0000,0.4844,0.6092,0.5443,0.5459,0.9905
Figure_13,f,Lake,0.4,40,1.0000,0.4844,0.5987,0.5432,0.4961,0.9762
Figure_13,f,Lake,0.5,50,0.9990,0.4902,0.5847,0.5631,0.5059,0.9351
