figure,panel,series,object_removal_ratio,object_removal_percent,yan_2017,li_2021,zhang_2025,lin_2018,xi_2022,proposed
Figure_14,a,Landuse,0.0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Figure_14,a,Landuse,0.1,10,0.9980,1.0000,0.9200,0.8641,1.0000,1.0000
Figure_14,a,Landuse,0.3,30,0.9980,1.0000,0.8700,0.5529,1.0000,1.0000
Figure_14,a,Landuse,0.5,50,0.9932,1.0000,0.8200,0.5529,1.0000,0.9992
Figure_14,a,Landuse,0.7,70,0.9443,0.4932,0.6900,0.5696,0.9326,0.9897
Figure_14,a,Landuse,0.9,90,0.4521,0.4844,0.6500,0.5821,0.8115,0.9324
Figure_14,b,Average,0.0,0,0.9830,1.0000,1.0000,0.8580,0.9210,1.0000
Figure_14,b,Average,0.1,10,0.9820,0.8320,0.9300,0.7940,0.9190,1.0000
Figure_14,b,Average,0.3,30,0.9790,0.7490,0.9000,0.6550,0.9110,1.0000
Figure_14,b,Average,0.5,50,0.9700,0.7490,0.8700,0.6160,0.9030,0.9980
Figure_14,b,Average,0.7,70,0.7980,0.6620,0.7500,0.5570,0.8830,0.9880
Figure_14,b,Average,0.9,90,0.5930,0.5670,0.6900,0.5580,0.8380,0.9390
