figure,panel,attack_family,condition_label,display_x,display_unit,semantic_x,semantic_unit,yan_2017,li_2021,zhang_2025,lin_2018,xi_2022,proposed
Figure_15,a,rotation,rotation_0_degree,0,degree,0,degree,0.96688,1.0000,1.0000,1.0000,1.0000,1.0000
Figure_15,a,rotation,rotation_45_degree,45,degree,45,degree,0.4860,0.4930,1.0000,0.8610,0.9210,0.5550
Figure_15,a,rotation,rotation_90_degree,90,degree,90,degree,0.5000,0.5010,1.0000,0.8610,0.9210,0.5760
Figure_15,a,rotation,rotation_135_degree,135,degree,135,degree,0.4790,0.5020,1.0000,0.8610,0.9210,0.5620
Figure_15,a,rotation,rotation_180_degree,180,degree,180,degree,0.4520,0.4410,1.0000,0.8610,0.9210,1.0000
Figure_15,a,rotation,rotation_225_degree,225,degree,225,degree,0.4960,0.4950,1.0000,0.8610,0.9210,0.5590
Figure_15,a,rotation,rotation_270_degree,270,degree,270,degree,0.4740,0.5010,1.0000,0.8610,0.9210,0.5750
Figure_15,a,rotation,rotation_315_degree,315,degree,315,degree,0.4800,0.4920,1.0000,0.8610,0.9210,0.6390
Figure_15,a,rotation,rotation_360_degree,360,degree,360,degree,0.96680,1.0000,1.0000,1.0000,1.0000,1.0000
Figure_15,b,scaling,no_attack_baseline,0,percent,0,baseline,0.96688,1.0000,1.0000,1.0000,1.0000,1.0000
Figure_15,b,scaling,scaling_factor_0.1,10,percent,0.1,scaling_factor,0.8960,1.0000,1.0000,0.5580,0.5310,1.0000
Figure_15,b,scaling,scaling_factor_0.5,50,percent,0.5,scaling_factor,0.9830,1.0000,1.0000,0.6670,0.5200,1.0000
Figure_15,b,scaling,scaling_factor_0.9,90,percent,0.9,scaling_factor,0.9180,1.0000,1.0000,0.5530,0.5180,1.0000
Figure_15,b,scaling,scaling_factor_1.3,130,percent,1.3,scaling_factor,0.9080,1.0000,1.0000,0.5550,0.5190,1.0000
Figure_15,b,scaling,scaling_factor_1.7,170,percent,1.7,scaling_factor,0.9010,1.0000,1.0000,0.5620,0.5220,1.0000
Figure_15,b,scaling,scaling_factor_2.1,210,percent,2.1,scaling_factor,0.9050,1.0000,1.0000,0.5620,0.5200,1.0000
Figure_15,c,translation,translation_0_unit,0,map_unit,0,map_unit,0.96688,1.0000,1.0000,1.0000,1.0000,1.0000
Figure_15,c,translation,translation_10_units,10,map_unit,10,map_unit,0.9640,1.0000,1.0000,0.8610,0.9210,1.0000
Figure_15,c,translation,translation_20_units,20,map_unit,20,map_unit,0.9640,1.0000,1.0000,0.8610,0.9210,1.0000
Figure_15,c,translation,translation_30_units,30,map_unit,30,map_unit,0.9640,1.0000,1.0000,0.8610,0.9210,1.0000
Figure_15,c,translation,translation_40_units,40,map_unit,40,map_unit,0.8850,1.0000,1.0000,0.8610,0.9210,1.0000
Figure_15,c,translation,translation_50_units,50,map_unit,50,map_unit,0.8850,1.0000,1.0000,0.8610,0.9210,1.0000
Figure_15,c,translation,translation_60_units,60,map_unit,60,map_unit,0.8850,1.0000,1.0000,0.8610,0.9210,1.0000
