dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Boundary,audited,compound_metric,10,0.8233990730091255,0.00965140938730518,0.78857421875,0.01076928007140187,0.21142578125,0.0,63.47724609375,0.11983478739275596
Boundary,audited,crop_half_centroids,1,0.9944302029662154,0.0,0.9931640625,0.0,0.0068359375,0.0,65.111328125,0.11578799999551848
Boundary,audited,legacy_noise_50pct_1p4degrees,10,0.807978126537966,0.014119242855845612,0.771484375,0.015142842903141938,0.228515625,0.0,120.9931640625,0.19960029159556142
Boundary,audited,no_attack,1,1.0,0.0,1.0,0.0,0.0,0.0,120.87890625,0.21545120800146833
Boundary,audited,noise_10pct_0p6tau_m,10,0.9934078682058018,0.0019078003459274428,0.99189453125,0.002349620108413871,0.00810546875,0.0,120.90537109375,0.1941308543086052
Boundary,audited,noise_50pct_1p4tau_m,10,0.8076045323864474,0.00705679864677393,0.77177734375,0.007395128386664552,0.22822265625,0.0,120.9927734375,0.21708488320000469
Boundary,audited,object_delete_30pct,10,0.9938836737899008,0.0037856907878480485,0.99248046875,0.004650506877732258,0.00751953125,0.0,85.480078125,0.15223437089589426
Boundary,audited,object_delete_90pct,10,0.8616187748576841,0.01923076705776125,0.8294921875,0.02419038157092349,0.1705078125,0.0,10.85546875,0.02277985430555418
Boundary,audited,reverse_objects,1,1.0,0.0,1.0,0.0,0.0,0.0,120.87890625,0.22377908299677074
Boundary,audited,reverse_vertices,1,1.0,0.0,1.0,0.0,0.0,0.0,120.87890625,0.19460562500171363
Boundary,audited,rotation_135,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,120.880859375,0.21181304199853912
Boundary,audited,rotation_180,1,1.0,0.0,1.0,0.0,0.0,0.0,120.87890625,0.19090624997625127
Boundary,audited,rotation_225,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,120.880859375,0.2107524579623714
Boundary,audited,rotation_270,1,1.0,0.0,1.0,0.0,0.0,0.0,120.87890625,0.19150687503861263
Boundary,audited,rotation_315,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,120.880859375,0.2102677910006605
Boundary,audited,rotation_45,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,120.880859375,0.21307487500598654
Boundary,audited,rotation_90,1,1.0,0.0,1.0,0.0,0.0,0.0,120.87890625,0.19469383294926956
Boundary,audited,scale_0p5,1,1.0,0.0,1.0,0.0,0.0,0.0,120.876953125,0.19111449999036267
Boundary,audited,translation_10,1,1.0,0.0,1.0,0.0,0.0,0.0,120.8798828125,0.19183325004996732
Boundary,audited,vertex_add_10pct,10,0.9955503710516596,0.001645230834104612,0.99453125,0.00201717882614969,0.00546875,0.0,132.90546875,0.24018797928583807
Boundary,audited,vertex_add_30pct,10,0.9731265021392996,0.004808701514487411,0.96708984375,0.005824003478723404,0.03291015625,0.0,157.06416015625,0.2620933041966055
Boundary,audited,vertex_add_50pct,10,0.9079735956827536,0.011169882483680976,0.88857421875,0.01306511026572011,0.11142578125,0.0,181.16015625,0.32740873759612443
Boundary,audited,vertex_delete_30pct,10,0.9688894854443852,0.0036138326705763718,0.96201171875,0.004353955228742877,0.03798828125,0.0,84.828125,0.1535524874983821
Boundary,audited,vertex_delete_50pct,10,0.885479348547053,0.007073323027849271,0.86171875,0.00844097552518905,0.13828125,0.0,60.8392578125,0.10662561670760624
