dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Railways,audited,no_attack,0,1.0,1.0,0.0,0.13629116700030863,52474,0,28,51.0,51.244140625,141,0,embed_pca_key,0.12545973753338166,52474
Railways,audited,crop_half_centroids,0,1.0,1.0,0.0,0.06103841704316437,22698,0,11,22.0,22.166015625,46,0,embed_pca_key,0.6932284290631582,22698
Railways,audited,rotation_45,0,1.0,1.0,0.0,0.12785954197170213,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338197,52474
Railways,audited,rotation_90,0,1.0,1.0,0.0,0.12328066601185128,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338166,52474
Railways,audited,rotation_135,0,1.0,1.0,0.0,0.12883904203772545,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338197,52474
Railways,audited,rotation_180,0,1.0,1.0,0.0,0.12472345901187509,52473,0,28,51.0,51.2431640625,141,0,embed_pca_key,0.12545973753338177,52474
Railways,audited,rotation_225,0,1.0,1.0,0.0,0.12980170804075897,52474,0,28,51.0,51.244140625,141,0,pca_++,0.1254597375333813,52474
Railways,audited,rotation_270,0,1.0,1.0,0.0,0.12382416595937684,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338177,52474
Railways,audited,rotation_315,0,1.0,1.0,0.0,0.12855154200224206,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338258,52474
Railways,audited,translation_10,0,1.0,1.0,0.0,0.12557816703338176,52474,0,28,51.0,51.244140625,141,0,embed_pca_key,0.12545973753338088,52474
Railways,audited,scale_0p5,0,1.0,1.0,0.0,0.12297262501670048,52472,0,28,51.0,51.2421875,141,0,embed_pca_key,0.12545973753338166,52474
Railways,audited,reverse_vertices,0,1.0,1.0,0.0,0.12195854197489098,52474,0,28,51.0,51.244140625,141,0,embed_pca_key,0.1254597375333812,52474
Railways,audited,reverse_objects,0,1.0,1.0,0.0,0.1311095419805497,52474,0,28,51.0,51.244140625,141,0,embed_pca_key,0.12545973753338213,52474
Railways,audited,vertex_delete_30pct,1,0.9992072927806908,0.9990234375,0.0009765625,0.11587174999294803,40169,0,20,39.0,39.2275390625,99,0,embed_pca_key,0.10877302739077183,40169
Railways,audited,vertex_delete_50pct,1,0.9928631194931944,0.9912109375,0.0087890625,0.0928212910075672,31904,0,14,31.0,31.15625,72,4,embed_pca_key,0.09121429017686458,31904
Railways,audited,object_delete_30pct,1,1.0,1.0,0.0,0.10512620798544958,36994,0,20,36.0,36.126953125,95,0,embed_pca_key,0.12047907485319036,36994
Railways,audited,object_delete_90pct,1,0.9526173336479747,0.94140625,0.05859375,0.014903708011843264,5509,6,0,5.0,5.3798828125,24,64,embed_pca_key,0.23328959079306957,5509
Railways,audited,vertex_add_10pct,1,1.0,1.0,0.0,0.143743957974948,57188,0,32,55.0,55.84765625,136,0,embed_pca_key,0.12744657961186387,57188
Railways,audited,vertex_add_30pct,1,0.9976174711631861,0.9970703125,0.0029296875,0.1454468330484815,66550,0,40,65.0,64.990234375,116,1,embed_pca_key,0.13183922798491277,66550
Railways,audited,vertex_add_50pct,1,0.9864975311979914,0.9833984375,0.0166015625,0.1972419160301797,75886,0,49,74.0,74.107421875,122,4,embed_pca_key,0.13486859970934573,75886
Railways,audited,noise_10pct_0p6tau_m,1,1.0,1.0,0.0,0.12683608394581825,52474,0,28,51.0,51.244140625,118,0,embed_pca_key,0.12545951763351776,52474
Railways,audited,noise_50pct_1p4tau_m,1,0.8712551433174822,0.8447265625,0.1552734375,0.13581120898015797,52474,0,26,51.0,51.244140625,76,24,embed_pca_key,0.12545825388796625,52474
Railways,audited,legacy_noise_50pct_1p4degrees,1,0.8931521694094449,0.869140625,0.130859375,0.12324349995469674,52474,0,27,51.0,51.244140625,75,38,embed_pca_key,0.004717682459928843,52474
Railways,audited,compound_metric,1,0.9329263937759218,0.91796875,0.08203125,0.08429050003178418,30766,0,16,30.0,30.044921875,53,28,embed_pca_key,0.07202566387466605,30766
Railways,audited,vertex_delete_30pct,2,0.9976174711631861,0.9970703125,0.0029296875,0.11552516598021612,40091,0,21,39.0,39.1513671875,88,1,embed_pca_key,0.11111908906653686,40091
Railways,audited,vertex_delete_50pct,2,0.9912429266746571,0.9892578125,0.0107421875,0.09746420796727762,31813,0,14,31.0,31.0673828125,78,4,embed_pca_key,0.0890959770281258,31813
Railways,audited,object_delete_30pct,2,1.0,1.0,0.0,0.0937742090318352,36488,0,16,35.0,35.6328125,100,0,embed_pca_key,0.05153476935990657,36488
Railways,audited,object_delete_90pct,2,0.9479683941093622,0.935546875,0.064453125,0.014473624993115664,5148,6,0,5.0,5.02734375,17,57,embed_pca_key,0.26801266286156317,5148
