dataset,method,attack,nc,bit_accuracy,fitness,embed_seconds,mean_displacement_m,max_displacement_m
Railways,single_candidate,no_attack,0.8341594885534729,0.80078125,0.568141076700408,2.8500673472881317,2.332883378460393e-07,0.00011334273852790971
Railways,single_candidate,delete50,0.7270974040117562,0.677734375,0.568141076700408,2.8500673472881317,2.332883378460393e-07,0.00011334273852790971
Railways,single_candidate,remove90,0.65546138683345,0.5830078125,0.568141076700408,2.8500673472881317,2.332883378460393e-07,0.00011334273852790971
Railways,single_candidate,rotate45,0.8181762299471632,0.7841796875,0.568141076700408,2.8500673472881317,2.332883378460393e-07,0.00011334273852790971
Railways,pso_10x40,no_attack,1.0,1.0,0.949465847896905,7.95369266346097,3.1747941562736136e-07,0.0001923689052865001
Railways,pso_10x40,delete50,0.9912933744490251,0.9892578125,0.949465847896905,7.95369266346097,3.1747941562736136e-07,0.0001923689052865001
Railways,pso_10x40,remove90,0.951869302646364,0.9404296875,0.949465847896905,7.95369266346097,3.1747941562736136e-07,0.0001923689052865001
Railways,pso_10x40,rotate45,1.0,1.0,0.949465847896905,7.95369266346097,3.1747941562736136e-07,0.0001923689052865001
Building,single_candidate,no_attack,0.7495833296881372,0.701171875,0.547794776147055,3.3225286081433296,1.9556923153464198e-08,2.890850353701132e-06
Building,single_candidate,delete50,0.6685898986434122,0.603515625,0.547794776147055,3.3225286081433296,1.9556923153464198e-08,2.890850353701132e-06
Building,single_candidate,remove90,0.6566186963513241,0.58984375,0.547794776147055,3.3225286081433296,1.9556923153464198e-08,2.890850353701132e-06
Building,single_candidate,rotate45,0.7375695366318433,0.6884765625,0.547794776147055,3.3225286081433296,1.9556923153464198e-08,2.890850353701132e-06
Building,pso_10x40,no_attack,0.9992072927806908,0.9990234375,0.96509844577812,6.555192619562149,2.642511131088243e-08,6.9089371477277345e-06
Building,pso_10x40,delete50,0.9170032105390813,0.8974609375,0.96509844577812,6.555192619562149,2.642511131088243e-08,6.9089371477277345e-06
Building,pso_10x40,remove90,0.921743821967309,0.9052734375,0.96509844577812,6.555192619562149,2.642511131088243e-08,6.9089371477277345e-06
Building,pso_10x40,rotate45,0.998416467731765,0.998046875,0.96509844577812,6.555192619562149,2.642511131088243e-08,6.9089371477277345e-06
Landuse,single_candidate,no_attack,0.7810804230317708,0.734375,0.5421024184543092,2.109242994338274,9.676246177196306e-08,8.330988115754429e-06
Landuse,single_candidate,delete50,0.6587909651664139,0.6015625,0.5421024184543092,2.109242994338274,9.676246177196306e-08,8.330988115754429e-06
Landuse,single_candidate,remove90,0.689540848994283,0.6259765625,0.5421024184543092,2.109242994338274,9.676246177196306e-08,8.330988115754429e-06
Landuse,single_candidate,rotate45,0.771944538448715,0.7255859375,0.5421024184543092,2.109242994338274,9.676246177196306e-08,8.330988115754429e-06
Landuse,pso_10x40,no_attack,1.0,1.0,0.9187710586028588,6.279162388294935,1.4232921914444279e-07,5.128522173258799e-05
Landuse,pso_10x40,delete50,0.936121347179264,0.921875,0.9187710586028588,6.279162388294935,1.4232921914444279e-07,5.128522173258799e-05
Landuse,pso_10x40,remove90,0.916733040043237,0.8974609375,0.9187710586028588,6.279162388294935,1.4232921914444279e-07,5.128522173258799e-05
Landuse,pso_10x40,rotate45,1.0,1.0,0.9187710586028588,6.279162388294935,1.4232921914444279e-07,5.128522173258799e-05
Boundary,single_candidate,no_attack,0.8966091734131454,0.875,0.5480738240690958,1.5845706760883331,3.208368287896622e-07,0.0003316263715376685
Boundary,single_candidate,delete50,0.6861549217160765,0.6357421875,0.5480738240690958,1.5845706760883331,3.208368287896622e-07,0.0003316263715376685
Boundary,single_candidate,remove90,0.696842243698339,0.63671875,0.5480738240690958,1.5845706760883331,3.208368287896622e-07,0.0003316263715376685
