dataset,case,nc,bit_accuracy,empty_bins
Railways,rotate45_crop,0.6107044158526235,0.5439453125,0
Railways,rotate45_remove90,0.6393170176996211,0.5634765625,7
Railways,round_6_decimals,0.5878907600876013,0.5224609375,0
Railways,round_7_decimals,0.5757749448288415,0.5107421875,0
Railways,round_8_decimals,0.5757749448288415,0.5107421875,0
Railways,round_9_decimals,0.5786532052272966,0.513671875,0
Railways,round_10_decimals,0.5830209885266947,0.5205078125,0
Railways,round_12_decimals,0.9960439816748191,0.9951171875,0
Railways,round_14_decimals,1.0,1.0,0
Building,rotate45_crop,0.5871623738543638,0.517578125,0
Building,rotate45_remove90,0.6031181913978644,0.5322265625,39
Building,round_6_decimals,0.6025940524104585,0.5390625,0
Building,round_7_decimals,0.6007514091861106,0.53125,0
Building,round_8_decimals,0.6007514091861106,0.53125,0
Building,round_9_decimals,0.6007514091861106,0.53125,0
Building,round_10_decimals,0.6007514091861106,0.53125,0
Building,round_12_decimals,0.8245632507057045,0.787109375,0
Building,round_14_decimals,0.9992072927806908,0.9990234375,0
Landuse,rotate45_crop,0.5909392385630433,0.5234375,0
Landuse,rotate45_remove90,0.6195395123465647,0.5322265625,28
Landuse,round_6_decimals,0.6075492262583102,0.5478515625,0
Landuse,round_7_decimals,0.5835643119131807,0.515625,0
Landuse,round_8_decimals,0.5835643119131807,0.515625,0
Landuse,round_9_decimals,0.5835643119131807,0.515625,0
Landuse,round_10_decimals,0.5858884758402823,0.517578125,0
Landuse,round_12_decimals,0.9848874509586985,0.9814453125,0
Landuse,round_14_decimals,0.9992060340153568,0.9990234375,0
Boundary,rotate45_crop,0.5726368765259856,0.509765625,0
Boundary,rotate45_remove90,0.6019629802966003,0.525390625,0
Boundary,round_6_decimals,0.6078327531352058,0.5419921875,0
Boundary,round_7_decimals,0.5778327668190775,0.521484375,0
Boundary,round_8_decimals,0.5957114882066442,0.5458984375,0
Boundary,round_9_decimals,0.5996236111826988,0.5380859375,0
Boundary,round_10_decimals,0.636480633309177,0.5791015625,0
Boundary,round_12_decimals,0.9920330317377525,0.990234375,0
Boundary,round_14_decimals,0.9992060340153568,0.9990234375,0
Road,rotate45_crop,0.5805892134179418,0.513671875,0
Road,rotate45_remove90,0.5991766976724457,0.5283203125,0
Road,round_6_decimals,0.5826966222103519,0.517578125,0
Road,round_7_decimals,0.5789589780156462,0.5166015625,0
Road,round_8_decimals,0.6085806194501846,0.5556640625,0
Road,round_9_decimals,0.5874415938019016,0.52734375,0
Road,round_10_decimals,0.6059295629103365,0.5439453125,0
Road,round_12_decimals,0.979277557173927,0.974609375,0
Road,round_14_decimals,0.9968253968253968,0.99609375,0
Lake,rotate45_crop,0.5733013070579803,0.5048828125,0
Lake,rotate45_remove90,0.603301664506494,0.5302734375,4
Lake,round_6_decimals,0.5922685747620565,0.529296875,0
Lake,round_7_decimals,0.5925284998064159,0.5263671875,0
Lake,round_8_decimals,0.5827412980785701,0.5234375,0
Lake,round_9_decimals,0.5892363563236163,0.5283203125,0
Lake,round_10_decimals,0.5890656030818078,0.5126953125,0
Lake,round_12_decimals,0.977041552771643,0.9716796875,0
Lake,round_14_decimals,1.0,1.0,0
