dataset,attack,attack_seed,sampling_seed,cap,nc,bit_accuracy,empty_bins
Railways,no_attack,0,0,1,0.8349082287957784,0.8056640625,0
Railways,no_attack,0,1,1,0.8441535631004812,0.8125,0
Railways,no_attack,0,2,1,0.8544644706350994,0.8232421875,0
Railways,no_attack,0,3,1,0.8315966589103109,0.7978515625,0
Railways,no_attack,0,4,1,0.8444263668445434,0.8134765625,0
Railways,no_attack,0,5,1,0.8544998816951975,0.8291015625,0
Railways,no_attack,0,6,1,0.8437915985180183,0.8134765625,0
Railways,no_attack,0,7,1,0.8403151772983148,0.8115234375,0
Railways,no_attack,0,8,1,0.8407102061909626,0.8115234375,0
Railways,no_attack,0,9,1,0.8249579113843054,0.794921875,0
Railways,no_attack,0,0,3,0.9283924577082565,0.9130859375,0
Railways,no_attack,0,1,3,0.9322958452252306,0.91796875,0
Railways,no_attack,0,2,3,0.9281254037322374,0.9130859375,0
Railways,no_attack,0,3,3,0.9187217029404622,0.9013671875,0
Railways,no_attack,0,4,3,0.9236583919859643,0.9072265625,0
Railways,no_attack,0,5,3,0.925563746424214,0.91015625,0
Railways,no_attack,0,6,3,0.9223161543314975,0.90625,0
Railways,no_attack,0,7,3,0.9183061659547392,0.9013671875,0
Railways,no_attack,0,8,3,0.9165825677580532,0.8994140625,0
Railways,no_attack,0,9,3,0.926418411237025,0.9111328125,0
Railways,no_attack,0,0,5,0.9617334967033844,0.953125,0
Railways,no_attack,0,1,5,0.9622782550655169,0.9541015625,0
Railways,no_attack,0,2,5,0.9656974321622964,0.9580078125,0
Railways,no_attack,0,3,5,0.9505690945857662,0.939453125,0
Railways,no_attack,0,4,5,0.9662547239300018,0.958984375,0
Railways,no_attack,0,5,5,0.9615829144388592,0.953125,0
Railways,no_attack,0,6,5,0.9671736487659961,0.9599609375,0
Railways,no_attack,0,7,5,0.9640085638721326,0.9560546875,0
Railways,no_attack,0,8,5,0.951736706375127,0.94140625,0
Railways,no_attack,0,9,5,0.9576031913547098,0.9482421875,0
Railways,no_attack,0,0,10,0.9913332040827805,0.9892578125,0
Railways,no_attack,0,1,10,0.9850189798529538,0.9814453125,0
Railways,no_attack,0,2,10,0.9913120913931104,0.9892578125,0
Railways,no_attack,0,3,10,0.9936920445515358,0.9921875,0
Railways,no_attack,0,4,10,0.9858573337657344,0.982421875,0
Railways,no_attack,0,5,10,0.9890377236737861,0.986328125,0
Railways,no_attack,0,6,10,0.9867349551857413,0.9833984375,0
Railways,no_attack,0,7,10,0.9874653266568166,0.984375,0
Railways,no_attack,0,8,10,0.9889290024208777,0.986328125,0
Railways,no_attack,0,9,10,0.9858929296398472,0.982421875,0
Railways,no_attack,0,0,1000000,1.0,1.0,0
Railways,no_attack,0,1,1000000,1.0,1.0,0
Railways,no_attack,0,2,1000000,1.0,1.0,0
Railways,no_attack,0,3,1000000,1.0,1.0,0
Railways,no_attack,0,4,1000000,1.0,1.0,0
Railways,no_attack,0,5,1000000,1.0,1.0,0
Railways,no_attack,0,6,1000000,1.0,1.0,0
Railways,no_attack,0,7,1000000,1.0,1.0,0
Railways,no_attack,0,8,1000000,1.0,1.0,0
Railways,no_attack,0,9,1000000,1.0,1.0,0
Railways,vertex_delete_50pct,1,0,1,0.7298311261945231,0.6865234375,0
Railways,vertex_delete_50pct,1,1,1,0.7502814083020668,0.7060546875,0
Railways,vertex_delete_50pct,1,2,1,0.7656146692481252,0.7236328125,0
Railways,vertex_delete_50pct,1,3,1,0.7359194929257318,0.6865234375,0
Railways,vertex_delete_50pct,1,4,1,0.7627719631849796,0.724609375,0
Railways,vertex_delete_50pct,1,5,1,0.7569554905727505,0.716796875,0
Railways,vertex_delete_50pct,1,6,1,0.7602851604127611,0.7177734375,0
Railways,vertex_delete_50pct,1,7,1,0.7633110860106729,0.72265625,0
Railways,vertex_delete_50pct,1,8,1,0.7399073104995425,0.6943359375,0
Railways,vertex_delete_50pct,1,9,1,0.7334899532935956,0.6845703125,0
Railways,vertex_delete_50pct,1,0,3,0.8295150620062531,0.794921875,0
Railways,vertex_delete_50pct,1,1,3,0.8217196689173957,0.7890625,0
Railways,vertex_delete_50pct,1,2,3,0.808785365512446,0.7724609375,0
Railways,vertex_delete_50pct,1,3,3,0.8119712129846812,0.7783203125,0
Railways,vertex_delete_50pct,1,4,3,0.8191244878741141,0.78515625,0
Railways,vertex_delete_50pct,1,5,3,0.8264356579742956,0.79296875,0
Railways,vertex_delete_50pct,1,6,3,0.8290170374544733,0.7958984375,0
Railways,vertex_delete_50pct,1,7,3,0.8151923738621536,0.779296875,0
Railways,vertex_delete_50pct,1,8,3,0.8115647048566811,0.7763671875,0
Railways,vertex_delete_50pct,1,9,3,0.8176894180588729,0.78515625,0
Railways,vertex_delete_50pct,1,0,5,0.8694533222527633,0.8427734375,0
Railways,vertex_delete_50pct,1,1,5,0.8633519961094623,0.8388671875,0
Railways,vertex_delete_50pct,1,2,5,0.8757441041803726,0.849609375,0
Railways,vertex_delete_50pct,1,3,5,0.8633010466426729,0.8359375,0
Railways,vertex_delete_50pct,1,4,5,0.877579054236434,0.8525390625,0
Railways,vertex_delete_50pct,1,5,5,0.8640526782070198,0.837890625,0
Railways,vertex_delete_50pct,1,6,5,0.8724400285971192,0.84765625,0
Railways,vertex_delete_50pct,1,7,5,0.8721547122562577,0.845703125,0
Railways,vertex_delete_50pct,1,8,5,0.8545578003665635,0.826171875,0
Railways,vertex_delete_50pct,1,9,5,0.8636675452179186,0.8369140625,0
Railways,vertex_delete_50pct,1,0,10,0.9300690279112475,0.912109375,0
Railways,vertex_delete_50pct,1,1,10,0.9287909230618059,0.91015625,0
Railways,vertex_delete_50pct,1,2,10,0.9383683577332483,0.921875,0
Railways,vertex_delete_50pct,1,3,10,0.9386338020584746,0.921875,0
Railways,vertex_delete_50pct,1,4,10,0.9432536823019603,0.9287109375,0
Railways,vertex_delete_50pct,1,5,10,0.9281317640446164,0.908203125,0
Railways,vertex_delete_50pct,1,6,10,0.9376144618769909,0.921875,0
Railways,vertex_delete_50pct,1,7,10,0.9289779457316312,0.9091796875,0
Railways,vertex_delete_50pct,1,8,10,0.9290775819141073,0.91015625,0
Railways,vertex_delete_50pct,1,9,10,0.927662712346556,0.9091796875,0
Railways,vertex_delete_50pct,1,0,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,1,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,2,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,3,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,4,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,5,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,6,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,7,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,8,1000000,0.9928631194931944,0.9912109375,0
Railways,vertex_delete_50pct,1,9,1000000,0.9928631194931944,0.9912109375,0
Railways,object_delete_90pct,1,0,1,0.8358446398802493,0.806640625,6
Railways,object_delete_90pct,1,1,1,0.8394568991418803,0.8095703125,6
Railways,object_delete_90pct,1,2,1,0.8407102061909626,0.8115234375,6
Railways,object_delete_90pct,1,3,1,0.8386337932085379,0.8115234375,6
