dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Boundary,legacy,compound,1,0.801531910859373,0.0,0.765625,0.0,0.234375,0.0,66.779296875,0.13796850002836436
Boundary,legacy,crop_half_x,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,117.234375,0.20961129199713469
Boundary,legacy,no_attack,1,1.0,0.0,1.0,0.0,0.0,0.0,120.939453125,0.22772445797454566
Boundary,legacy,noise_10pct_0p6tau,1,0.9944340175269573,0.0,0.9931640625,0.0,0.0068359375,0.0,120.953125,0.22097675001714379
Boundary,legacy,noise_50pct_1p4tau,1,0.8198291112197837,0.0,0.7861328125,0.0,0.2138671875,0.0,120.9990234375,0.2100507079740055
Boundary,legacy,object_delete_30pct,1,0.9976174711631861,0.0,0.9970703125,0.0,0.0029296875,0.0,86.5810546875,0.16147583298152313
Boundary,legacy,object_delete_90pct,1,0.8969900329145698,0.0,0.873046875,0.0,0.126953125,0.0,17.671875,0.03205329104093835
Boundary,legacy,reverse_objects,1,1.0,0.0,1.0,0.0,0.0,0.0,120.939453125,0.23802208300912753
Boundary,legacy,reverse_vertices,1,1.0,0.0,1.0,0.0,0.0,0.0,120.9404296875,0.20503662497503683
Boundary,legacy,rotation_135,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,120.94921875,0.20667266700183973
Boundary,legacy,rotation_180,1,1.0,0.0,1.0,0.0,0.0,0.0,120.9384765625,0.21517495799344033
Boundary,legacy,rotation_225,1,0.9984114366459335,0.0,0.998046875,0.0,0.001953125,0.0,120.94921875,0.21138970798347145
Boundary,legacy,rotation_270,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,120.9404296875,0.21111570799257606
Boundary,legacy,rotation_315,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,120.9482421875,0.21329479198902845
Boundary,legacy,rotation_45,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,120.94921875,0.2048282910254784
