dataset,kind,seed,nc,bit_accuracy
Railways,unwatermarked_host,0,0.5757749448288415,0.5107421875
Railways,wrong_watermark,1,0.5664344279019518,0.5068359375
Railways,wrong_watermark,2,0.5463066415885109,0.49609375
Railways,wrong_watermark,3,0.5504271095885476,0.5068359375
Railways,wrong_watermark,4,0.569185385880174,0.517578125
Railways,wrong_watermark,5,0.5472168584244865,0.490234375
Railways,wrong_watermark,6,0.5669705704052262,0.5078125
Railways,wrong_watermark,7,0.5506902997528771,0.4990234375
Railways,wrong_watermark,8,0.5666188998827841,0.5107421875
Railways,wrong_watermark,9,0.5633282321195529,0.5107421875
Railways,wrong_watermark,10,0.556525890161541,0.5009765625
Railways,wrong_watermark,11,0.5439031206671544,0.4892578125
Railways,wrong_watermark,12,0.5746591872168177,0.5146484375
Railways,wrong_watermark,13,0.5628541841314731,0.515625
Railways,wrong_watermark,14,0.563022797004437,0.498046875
Railways,wrong_watermark,15,0.569674308059476,0.5126953125
Railways,wrong_watermark,16,0.5473818384670106,0.4892578125
Railways,wrong_watermark,17,0.5461594335554,0.48828125
Railways,wrong_watermark,18,0.5421372014442091,0.4873046875
Railways,wrong_watermark,19,0.5083190239675872,0.451171875
Railways,wrong_watermark,20,0.5592215684620545,0.5009765625
Building,unwatermarked_host,0,0.6007514091861106,0.53125
Building,wrong_watermark,1,0.5643819956296984,0.5078125
Building,wrong_watermark,2,0.5439812539358528,0.4970703125
Building,wrong_watermark,3,0.5443769180728538,0.50390625
Building,wrong_watermark,4,0.5652638869054534,0.5166015625
Building,wrong_watermark,5,0.546755071003983,0.4931640625
Building,wrong_watermark,6,0.5631726269566868,0.5068359375
Building,wrong_watermark,7,0.5466299342737729,0.498046875
Building,wrong_watermark,8,0.5627587755988995,0.509765625
Building,wrong_watermark,9,0.5593809076519131,0.509765625
Building,wrong_watermark,10,0.5543473939770819,0.501953125
Building,wrong_watermark,11,0.5433985960047155,0.4921875
Building,wrong_watermark,12,0.5726724781689838,0.515625
Building,wrong_watermark,13,0.5569945959926702,0.5126953125
Building,wrong_watermark,14,0.561014302716089,0.4990234375
Building,wrong_watermark,15,0.5658582531899096,0.51171875
Building,wrong_watermark,16,0.5451725638614339,0.490234375
Building,wrong_watermark,17,0.5474588563446317,0.4931640625
Building,wrong_watermark,18,0.5398469711942272,0.48828125
Building,wrong_watermark,19,0.5058235651993894,0.4521484375
Building,wrong_watermark,20,0.5606026037794769,0.505859375
Landuse,unwatermarked_host,0,0.5835643119131807,0.515625
Landuse,wrong_watermark,1,0.5668845149240225,0.5078125
Landuse,wrong_watermark,2,0.5449540007060821,0.4951171875
Landuse,wrong_watermark,3,0.5508644772456288,0.5078125
Landuse,wrong_watermark,4,0.5696376588048369,0.5185546875
Landuse,wrong_watermark,5,0.5458963813951963,0.4892578125
Landuse,wrong_watermark,6,0.5674210834444505,0.5087890625
Landuse,wrong_watermark,7,0.5511278765400385,0.5
Landuse,wrong_watermark,8,0.5670691334857129,0.51171875
Landuse,wrong_watermark,9,0.5620085285513565,0.509765625
Landuse,wrong_watermark,10,0.5569681038905613,0.501953125
Landuse,wrong_watermark,11,0.5425679819662468,0.48828125
Landuse,wrong_watermark,12,0.5751158096068762,0.515625
Landuse,wrong_watermark,13,0.5615074727161063,0.5146484375
Landuse,wrong_watermark,14,0.561757497856939,0.4970703125
Landuse,wrong_watermark,15,0.568383461928244,0.51171875
Landuse,wrong_watermark,16,0.547816786361198,0.490234375
Landuse,wrong_watermark,17,0.5448415081749274,0.4873046875
Landuse,wrong_watermark,18,0.5408006595494186,0.486328125
