dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Railways,legacy,no_attack,0,1.0,1.0,0.0,0.14904420805396512,52474,0,28,51.0,51.244140625,141,0,embed_pca_key,0.12545973753338166,52474
Railways,legacy,vertex_delete_30pct,0,0.9992072927806908,0.9990234375,0.0009765625,0.1299544580397196,40169,0,20,39.0,39.2275390625,99,0,embed_pca_key,0.10877302739077183,40169
Railways,legacy,vertex_delete_50pct,0,0.9928631194931944,0.9912109375,0.0087890625,0.10099512501619756,31904,0,14,31.0,31.15625,72,4,embed_pca_key,0.09121429017686458,31904
Railways,legacy,object_delete_30pct,0,1.0,1.0,0.0,0.09829283400904387,37901,0,18,37.0,37.0126953125,108,0,embed_pca_key,0.04693438843405607,37901
Railways,legacy,object_delete_90pct,0,0.9454619308661563,0.9326171875,0.0673828125,0.016262417018879205,6073,0,1,6.0,5.9306640625,20,65,embed_pca_key,0.16530030618292535,6073
Railways,legacy,vertex_add_10pct,0,0.9992072927806908,0.9990234375,0.0009765625,0.14186458301264793,57168,0,33,56.0,55.828125,137,0,embed_pca_key,0.12863338571491695,57168
Railways,legacy,vertex_add_30pct,0,0.9976174711631861,0.9970703125,0.0029296875,0.15720658400096,66593,0,37,65.0,65.0322265625,146,2,embed_pca_key,0.12530113458846082,66593
Railways,legacy,vertex_add_50pct,0,0.9825131653617625,0.978515625,0.021484375,0.16913045902037993,76027,0,50,74.0,74.2451171875,128,4,embed_pca_key,0.13594883725062903,76027
Railways,legacy,noise_10pct_0p6tau,0,1.0,1.0,0.0,0.13352154201129451,52474,0,29,51.0,51.244140625,117,0,embed_pca_key,0.08288753758831344,52474
Railways,legacy,noise_50pct_1p4tau,0,0.8860912478088324,0.861328125,0.138671875,0.1280807500006631,52474,0,27,51.0,51.244140625,76,29,embed_pca_key,0.014451779827313218,52474
Railways,legacy,crop_half_x,0,1.0,1.0,0.0,0.12880225002299994,49903,0,29,49.0,48.7333984375,138,0,embed_pca_key,0.12695812083641603,49903
Railways,legacy,translation_10,0,1.0,1.0,0.0,0.1273342499625869,52474,0,28,51.0,51.244140625,141,0,embed_pca_key,0.12545973753338088,52474
Railways,legacy,scale_0p5,0,1.0,1.0,0.0,0.12886462500318885,52472,0,28,51.0,51.2421875,141,0,embed_pca_key,0.12545973753338166,52474
Railways,legacy,rotation_45,0,1.0,1.0,0.0,0.13447829202050343,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338197,52474
Railways,legacy,rotation_90,0,1.0,1.0,0.0,0.13009729096665978,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338166,52474
Railways,legacy,rotation_135,0,1.0,1.0,0.0,0.13489624997600913,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338197,52474
Railways,legacy,rotation_180,0,1.0,1.0,0.0,0.13026645797071978,52473,0,28,51.0,51.2431640625,141,0,embed_pca_key,0.12545973753338177,52474
Railways,legacy,rotation_225,0,1.0,1.0,0.0,0.1294839580077678,52474,0,28,51.0,51.244140625,141,0,pca_++,0.1254597375333813,52474
Railways,legacy,rotation_270,0,1.0,1.0,0.0,0.12475845799781382,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338177,52474
Railways,legacy,rotation_315,0,1.0,1.0,0.0,0.13296449999324977,52474,0,28,51.0,51.244140625,141,0,pca_++,0.12545973753338258,52474
Railways,legacy,reverse_vertices,0,1.0,1.0,0.0,0.1316298749879934,52474,0,28,51.0,51.244140625,141,0,embed_pca_key,0.1254597375333812,52474
Railways,legacy,reverse_objects,0,1.0,1.0,0.0,0.14173124998342246,52474,0,28,51.0,51.244140625,141,0,embed_pca_key,0.12545973753338213,52474
Railways,legacy,compound,0,0.9360837420717975,0.9208984375,0.0791015625,0.0916977499728091,31553,0,10,31.0,30.8134765625,55,26,embed_pca_key,0.004683173633112247,31553
Building,legacy,no_attack,0,0.9864479554980152,0.9833984375,0.0166015625,0.1327415420091711,41133,0,15,37.0,40.1689453125,235,0,embed_pca_key,0.5932081428242003,43465
Building,legacy,vertex_delete_30pct,0,0.9688898203677916,0.9619140625,0.0380859375,0.12367683398770168,32057,0,10,28.0,31.3056640625,233,4,embed_pca_key,0.5930665603489516,34389
Building,legacy,vertex_delete_50pct,0,0.929309268519847,0.9130859375,0.0869140625,0.10804308298975229,26410,0,7,23.0,25.791015625,229,21,embed_pca_key,0.594810443450193,28742
Building,legacy,object_delete_30pct,0,0.9888585178963917,0.986328125,0.013671875,0.10140891699120402,29312,0,9,26.0,28.625,168,3,embed_pca_key,0.5852760776126812,30981
Building,legacy,object_delete_90pct,0,0.9194744451420719,0.90234375,0.09765625,0.01803833298617974,4006,43,0,3.0,3.912109375,26,72,embed_pca_key,0.6260963220764283,4268
Building,legacy,vertex_add_10pct,0,0.984045648229397,0.98046875,0.01953125,0.13951670803362504,44837,0,19,41.0,43.7861328125,238,0,embed_pca_key,0.5935056608583787,47169
Building,legacy,vertex_add_30pct,0,0.9712658346160282,0.96484375,0.03515625,0.143842332996428,52349,0,26,49.0,51.1220703125,242,4,embed_pca_key,0.5940981795571857,54681
Building,legacy,vertex_add_50pct,0,0.9441087306876195,0.931640625,0.068359375,0.15612004196736962,59804,0,33,56.0,58.40234375,251,17,embed_pca_key,0.5943694811263505,62136
Building,legacy,noise_10pct_0p6tau,0,0.9840623009386205,0.98046875,0.01953125,0.1267027499852702,41596,0,13,38.0,40.62109375,197,3,embed_pca_key,0.031406785675522714,44676
Building,legacy,noise_50pct_1p4tau,0,0.8729242689879139,0.8447265625,0.1552734375,0.14001979201566428,42886,0,23,41.0,41.880859375,101,46,embed_pca_key,0.0020126915864105885,48263
Building,legacy,crop_half_x,0,0.9856431249310681,0.982421875,0.017578125,0.1215325000230223,40955,0,15,37.0,39.9951171875,234,0,embed_pca_key,0.5951052618463044,43289
