dataset,series,attack,seed,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,attack_seeds
Boundary,main,no_attack,0,1.0,1.0,0.0,123842,0,89,121.0,120.939453125,199,[]
Boundary,main,vertex_delete_30pct,1,0.9720152795189112,0.9658203125,0.0341796875,86968,0,55,85.0,84.9296875,151,[1]
Boundary,main,vertex_delete_50pct,1,0.8727036150462316,0.8466796875,0.1533203125,62350,0,34,60.5,60.888671875,127,[1]
Boundary,main,object_delete_30pct,2025,0.997617471163186,0.9970703125,0.0029296875,88659,0,59,86.0,86.5810546875,144,[2025]
Boundary,main,object_delete_90pct,2025,0.8969900329145698,0.873046875,0.126953125,18096,0,6,17.0,17.671875,37,[2025]
Boundary,main,vertex_add_10pct,233337,0.9936419552606822,0.9921875,0.0078125,136276,0,99,132.0,133.08203125,205,[233337]
Boundary,main,vertex_add_30pct,233337,0.9695060096188166,0.962890625,0.037109375,160889,0,119,157.0,157.1181640625,228,[233337]
Boundary,main,vertex_add_50pct,233337,0.9034765305583988,0.8828125,0.1171875,185611,0,143,181.0,181.2607421875,267,[233337]
Boundary,main,noise_10pct_0p6tau,2024,0.9944340175269571,0.9931640625,0.0068359375,123856,0,93,121.0,120.953125,182,[2024]
Boundary,main,noise_50pct_1p4tau,2024,0.8198291112197837,0.7861328125,0.2138671875,123903,0,83,121.0,120.9990234375,159,[2024]
Boundary,main,crop_half_x,0,0.9992060340153568,0.9990234375,0.0009765625,120048,0,88,117.0,117.234375,197,[]
Boundary,main,translation_10,0,1.0,1.0,0.0,123847,0,89,121.0,120.9443359375,199,[]
Boundary,main,scale_0p5,0,1.0,1.0,0.0,123831,0,89,121.0,120.9287109375,199,[]
Boundary,main,rotation_45,0,0.9992060340153568,0.9990234375,0.0009765625,123852,0,89,121.0,120.94921875,198,[]
Boundary,main,rotation_90,0,1.0,1.0,0.0,123842,0,89,121.0,120.939453125,199,[]
Boundary,main,rotation_135,0,0.9992060340153568,0.9990234375,0.0009765625,123852,0,89,121.0,120.94921875,198,[]
Boundary,main,rotation_180,0,1.0,1.0,0.0,123841,0,89,121.0,120.9384765625,199,[]
Boundary,main,rotation_225,0,0.9984114366459336,0.998046875,0.001953125,123852,0,89,121.0,120.94921875,198,[]
Boundary,main,rotation_270,0,0.9992060340153568,0.9990234375,0.0009765625,123843,0,89,121.0,120.9404296875,199,[]
Boundary,main,rotation_315,0,0.9992060340153568,0.9990234375,0.0009765625,123851,0,89,121.0,120.9482421875,197,[]
Boundary,main,reverse_vertices,0,1.0,1.0,0.0,123843,0,89,121.0,120.9404296875,199,[]
Boundary,main,reverse_objects,0,1.0,1.0,0.0,123842,0,89,121.0,120.939453125,199,[]
Boundary,main,compound,1,0.801531910859373,0.765625,0.234375,68382,0,43,66.0,66.779296875,99,"[1, 2025, 233337, 2024]"
Boundary,main,addition_alpha0_pct10,233337,0.9968216095175164,0.99609375,0.00390625,136262,0,100,132.0,133.068359375,214,[233337]
Boundary,main,addition_alpha0_pct30,233337,0.9992060340153568,0.9990234375,0.0009765625,160842,0,113,156.0,157.072265625,239,[233337]
Boundary,main,addition_alpha0_pct50,233337,0.9968216095175164,0.99609375,0.00390625,185563,0,131,181.0,181.2138671875,283,[233337]
Boundary,main,addition_alpha0.5_pct10,233337,0.997617471163186,0.9970703125,0.0029296875,136276,0,99,132.5,133.08203125,199,[233337]
Boundary,main,addition_alpha0.5_pct30,233337,0.9711164847178512,0.96484375,0.03515625,160889,0,121,156.0,157.1181640625,249,[233337]
Boundary,main,addition_alpha0.5_pct50,233337,0.898503975340586,0.876953125,0.123046875,185611,0,137,181.0,181.2607421875,286,[233337]
Boundary,main,addition_alpha1_pct10,233337,0.9936419552606822,0.9921875,0.0078125,136276,0,99,132.0,133.08203125,205,[233337]
Boundary,main,addition_alpha1_pct30,233337,0.9695060096188166,0.962890625,0.037109375,160889,0,119,157.0,157.1181640625,228,[233337]
Boundary,main,addition_alpha1_pct50,233337,0.9034765305583988,0.8828125,0.1171875,185611,0,143,181.0,181.2607421875,267,[233337]
Boundary,main,noise_strength0.6_pct10,2024,0.9944340175269571,0.9931640625,0.0068359375,123856,0,93,121.0,120.953125,182,[2024]
Boundary,main,noise_strength0.6_pct30,2024,0.939230055842688,0.92578125,0.07421875,123889,0,91,121.0,120.9853515625,159,[2024]
Boundary,main,noise_strength0.6_pct50,2024,0.7923131584755326,0.7529296875,0.2470703125,123903,0,85,121.0,120.9990234375,159,[2024]
Boundary,main,noise_strength1_pct10,2024,0.9952317823890992,0.994140625,0.005859375,123856,0,84,121.0,120.953125,181,[2024]
Boundary,main,noise_strength1_pct30,2024,0.9439538943408136,0.931640625,0.068359375,123889,0,87,120.0,120.9853515625,160,[2024]
