dataset,series,attack,seed,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,attack_seeds
Landuse,main,no_attack,0,0.9992060340153568,0.9990234375,0.0009765625,42692,0,21,40.0,41.69140625,340,[]
Landuse,main,vertex_delete_30pct,1,0.9912933744490252,0.9892578125,0.0107421875,31576,0,11,30.0,30.8359375,200,[1]
Landuse,main,vertex_delete_50pct,1,0.9374588563774604,0.923828125,0.076171875,24198,0,8,23.0,23.630859375,109,[1]
Landuse,main,object_delete_30pct,2025,0.9984126984126984,0.998046875,0.001953125,31528,0,14,30.0,30.7890625,260,[2025]
Landuse,main,object_delete_90pct,2025,0.9217025570731427,0.90234375,0.09765625,4584,4,0,4.0,4.4765625,41,[2025]
Landuse,main,vertex_add_10pct,233337,0.9992060340153568,0.9990234375,0.0009765625,46743,0,24,45.0,45.6474609375,312,[233337]
Landuse,main,vertex_add_30pct,233337,0.9952380952380953,0.994140625,0.005859375,54971,0,33,53.0,53.6826171875,265,[233337]
Landuse,main,vertex_add_50pct,233337,0.9523064499218378,0.94140625,0.05859375,63035,0,32,61.0,61.5576171875,225,[233337]
Landuse,main,noise_10pct_0p6tau,2024,0.9976212494588168,0.9970703125,0.0029296875,42941,0,21,41.0,41.9345703125,293,[2024]
Landuse,main,noise_50pct_1p4tau,2024,0.8704278541370057,0.841796875,0.158203125,43662,0,24,42.0,42.638671875,112,[2024]
Landuse,main,crop_half_x,0,0.9992060340153568,0.9990234375,0.0009765625,42590,0,21,40.0,41.591796875,339,[]
Landuse,main,translation_10,0,0.9968253968253968,0.99609375,0.00390625,42691,0,21,39.0,41.6904296875,459,[]
Landuse,main,scale_0p5,0,1.0,1.0,0.0,41519,0,21,40.0,40.5458984375,337,[]
Landuse,main,rotation_45,0,0.9984126984126984,0.998046875,0.001953125,43618,0,24,41.0,42.595703125,344,[]
Landuse,main,rotation_90,0,0.9992060340153568,0.9990234375,0.0009765625,42690,0,22,41.0,41.689453125,343,[]
Landuse,main,rotation_135,0,0.9976212494588168,0.9970703125,0.0029296875,43618,0,22,41.0,42.595703125,340,[]
Landuse,main,rotation_180,0,0.9992060340153568,0.9990234375,0.0009765625,42691,0,21,40.0,41.6904296875,342,[]
Landuse,main,rotation_225,0,0.9984126984126984,0.998046875,0.001953125,43574,0,23,41.0,42.552734375,339,[]
Landuse,main,rotation_270,0,0.9992060340153568,0.9990234375,0.0009765625,42692,0,21,40.0,41.69140625,341,[]
Landuse,main,rotation_315,0,0.9992060340153568,0.9990234375,0.0009765625,43664,0,22,42.0,42.640625,340,[]
Landuse,main,reverse_vertices,0,0.9992060340153568,0.9990234375,0.0009765625,42694,0,21,41.0,41.693359375,344,[]
Landuse,main,reverse_objects,0,0.9992060340153568,0.9990234375,0.0009765625,42692,0,21,40.0,41.69140625,340,[]
Landuse,main,compound,1,0.8937081801542928,0.8701171875,0.1298828125,25686,0,9,24.0,25.083984375,298,"[1, 2025, 233337, 2024]"
Landuse,main,addition_alpha0_pct10,233337,0.9992060340153568,0.9990234375,0.0009765625,46743,0,22,44.0,45.6474609375,377,[233337]
Landuse,main,addition_alpha0_pct30,233337,0.9992060340153568,0.9990234375,0.0009765625,54971,0,23,52.0,53.6826171875,444,[233337]
Landuse,main,addition_alpha0_pct50,233337,0.9992060340153568,0.9990234375,0.0009765625,63035,0,31,60.0,61.5576171875,509,[233337]
Landuse,main,addition_alpha0.5_pct10,233337,0.9984114366459336,0.998046875,0.001953125,46743,0,24,44.0,45.6474609375,313,[233337]
Landuse,main,addition_alpha0.5_pct30,233337,0.9872521301150828,0.984375,0.015625,54971,0,31,53.0,53.6826171875,272,[233337]
Landuse,main,addition_alpha0.5_pct50,233337,0.9649730464496188,0.95703125,0.04296875,63035,0,37,61.0,61.5576171875,227,[233337]
Landuse,main,addition_alpha1_pct10,233337,0.9992060340153568,0.9990234375,0.0009765625,46743,0,24,45.0,45.6474609375,312,[233337]
Landuse,main,addition_alpha1_pct30,233337,0.9952380952380953,0.994140625,0.005859375,54971,0,33,53.0,53.6826171875,265,[233337]
Landuse,main,addition_alpha1_pct50,233337,0.9523064499218378,0.94140625,0.05859375,63035,0,32,61.0,61.5576171875,225,[233337]
Landuse,main,noise_strength0.6_pct10,2024,0.9976212494588168,0.9970703125,0.0029296875,42941,0,21,41.0,41.9345703125,293,[2024]
Landuse,main,noise_strength0.6_pct30,2024,0.981681097799982,0.9775390625,0.0224609375,43339,0,22,42.0,42.3232421875,195,[2024]
Landuse,main,noise_strength0.6_pct50,2024,0.8789571468055818,0.8525390625,0.1474609375,43662,0,23,42.0,42.638671875,111,[2024]
Landuse,main,noise_strength1_pct10,2024,0.9992060340153568,0.9990234375,0.0009765625,42941,0,24,41.0,41.9345703125,293,[2024]
Landuse,main,noise_strength1_pct30,2024,0.9810175704015106,0.9765625,0.0234375,43339,0,23,42.0,42.3232421875,196,[2024]
Landuse,main,noise_strength1_pct50,2024,0.8724182797624398,0.84375,0.15625,43662,0,21,42.0,42.638671875,114,[2024]
Landuse,main,noise_strength1.4_pct10,2024,0.9984126984126984,0.998046875,0.001953125,42941,0,23,41.0,41.9345703125,289,[2024]
Landuse,main,noise_strength1.4_pct30,2024,0.9769661540849672,0.9716796875,0.0283203125,43339,0,23,42.0,42.3232421875,192,[2024]
Landuse,main,noise_strength1.4_pct50,2024,0.8704278541370057,0.841796875,0.158203125,43662,0,24,42.0,42.638671875,112,[2024]
Landuse,main,vertex_delete_10pct,1,0.9984114366459336,0.998046875,0.001953125,38987,0,18,37.0,38.0732421875,288,[1]
Landuse,main,vertex_delete_20pct,1,0.9952380952380953,0.994140625,0.005859375,35297,0,16,34.0,34.4697265625,240,[1]
Landuse,main,vertex_delete_40pct,1,0.9761195997914462,0.970703125,0.029296875,27836,0,11,26.0,27.18359375,155,[1]
Landuse,main,object_delete_10pct,2025,0.9992060340153568,0.9990234375,0.0009765625,38982,0,20,37.0,38.068359375,312,[2025]
Landuse,main,object_delete_50pct,2025,0.9968253968253968,0.99609375,0.00390625,22024,0,8,21.0,21.5078125,176,[2025]
Landuse,main,object_delete_70pct,2025,0.9896910328494462,0.9873046875,0.0126953125,13002,0,3,12.0,12.697265625,92,[2025]
Landuse,main,scale_0.1,0,1.0,1.0,0.0,40487,0,21,39.0,39.5380859375,337,[]
Landuse,main,scale_0.9,0,0.9992060340153568,0.9990234375,0.0009765625,43199,0,21,39.0,42.1865234375,649,[]
Landuse,main,scale_1.3,0,0.9992060340153568,0.9990234375,0.0009765625,43193,0,21,39.0,42.1806640625,797,[]
Landuse,main,scale_1.7,0,1.0,1.0,0.0,41784,0,21,39.0,40.8046875,337,[]
Landuse,main,scale_2.1,0,0.997617471163186,0.9970703125,0.0029296875,42503,0,21,39.0,41.5068359375,529,[]
Landuse,main,translation_20,0,0.997617471163186,0.9970703125,0.0029296875,41880,0,21,39.0,40.8984375,336,[]
Landuse,main,translation_30,0,0.997617471163186,0.9970703125,0.0029296875,41884,0,21,39.0,40.90234375,337,[]
Landuse,main,translation_40,0,0.9960251119550004,0.9951171875,0.0048828125,41701,0,21,39.0,40.7236328125,337,[]
Landuse,main,translation_50,0,0.9960289083110154,0.9951171875,0.0048828125,41679,0,21,39.0,40.7021484375,337,[]
Landuse,main,translation_60,0,0.9960251119550004,0.9951171875,0.0048828125,41663,0,21,39.0,40.6865234375,337,[]
Landuse,repeat,vertex_delete_30pct,1,0.9912933744490252,0.9892578125,0.0107421875,31576,0,11,30.0,30.8359375,200,[1]
Landuse,repeat,vertex_delete_50pct,1,0.9374588563774604,0.923828125,0.076171875,24198,0,8,23.0,23.630859375,109,[1]
Landuse,repeat,object_delete_30pct,1,0.9984126984126984,0.998046875,0.001953125,30186,0,12,29.0,29.478515625,252,[1]
Landuse,repeat,object_delete_90pct,1,0.932312366756094,0.916015625,0.083984375,4314,18,0,4.0,4.212890625,38,[1]
Landuse,repeat,vertex_add_50pct,1,0.9553538383504596,0.9453125,0.0546875,62844,0,37,61.0,61.37109375,216,[1]
Landuse,repeat,noise_50pct_1p4tau,1,0.8556655899412282,0.8271484375,0.1728515625,43693,0,24,42.0,42.6689453125,111,[1]
Landuse,repeat,compound,1,0.8926694722374077,0.869140625,0.130859375,24162,0,9,22.5,23.595703125,277,"[1, 10001, 20001, 30001]"
Landuse,repeat,vertex_delete_30pct,2,0.9920773155556905,0.990234375,0.009765625,31607,0,14,30.0,30.8662109375,197,[2]
Landuse,repeat,vertex_delete_50pct,2,0.9427674871513352,0.9296875,0.0703125,24380,0,9,23.0,23.80859375,128,[2]
Landuse,repeat,object_delete_30pct,2,0.9992060340153568,0.9990234375,0.0009765625,29226,0,10,28.0,28.541015625,231,[2]
Landuse,repeat,object_delete_90pct,2,0.9289203850497664,0.912109375,0.087890625,4407,20,0,4.0,4.3037109375,34,[2]
Landuse,repeat,vertex_add_50pct,2,0.9457843508210728,0.93359375,0.06640625,62889,0,35,61.0,61.4150390625,220,[2]
Landuse,repeat,noise_50pct_1p4tau,2,0.8708233651742087,0.841796875,0.158203125,43673,0,22,43.0,42.6494140625,128,[2]
Landuse,repeat,compound,2,0.8719197465676362,0.8427734375,0.1572265625,24595,0,10,23.0,24.0185546875,304,"[2, 10002, 20002, 30002]"
Landuse,repeat,vertex_delete_30pct,3,0.990462301003848,0.98828125,0.01171875,31649,0,12,30.0,30.9072265625,197,[3]
