dataset,series,attack,seed,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,attack_seeds
Road,main,no_attack,0,0.9992072927806908,0.9990234375,0.0009765625,69322,0,36,68.0,67.697265625,92,[]
Road,main,vertex_delete_30pct,1,0.981792159997437,0.9775390625,0.0224609375,49052,0,30,48.0,47.90234375,72,[1]
Road,main,vertex_delete_50pct,1,0.8869471730568279,0.861328125,0.138671875,35522,0,14,35.0,34.689453125,53,[1]
Road,main,object_delete_30pct,2025,0.9968253968253968,0.99609375,0.00390625,50129,0,27,49.0,48.9541015625,72,[2025]
Road,main,object_delete_90pct,2025,0.8775360348869248,0.8505859375,0.1494140625,8045,0,1,8.0,7.8564453125,18,[2025]
Road,main,vertex_add_10pct,233337,0.993662103599709,0.9921875,0.0078125,76189,0,42,74.0,74.4033203125,107,[233337]
Road,main,vertex_add_30pct,233337,0.9691238740619862,0.9619140625,0.0380859375,89933,0,56,88.0,87.8251953125,126,[233337]
Road,main,vertex_add_50pct,233337,0.9073667665491842,0.88671875,0.11328125,103571,0,69,101.0,101.1435546875,140,[233337]
Road,main,noise_10pct_0p6tau,2024,0.9944491628150685,0.9931640625,0.0068359375,69326,0,42,68.0,67.701171875,93,[2024]
Road,main,noise_50pct_1p4tau,2024,0.8297216844473545,0.796875,0.203125,69352,0,43,67.0,67.7265625,98,[2024]
Road,main,crop_half_x,0,0.9968253968253968,0.99609375,0.00390625,68430,0,36,67.0,66.826171875,92,[]
Road,main,translation_10,0,0.9992072927806908,0.9990234375,0.0009765625,69322,0,36,68.0,67.697265625,92,[]
Road,main,scale_0p5,0,0.9992072927806908,0.9990234375,0.0009765625,69322,0,36,68.0,67.697265625,92,[]
Road,main,rotation_45,0,0.9984126984126984,0.998046875,0.001953125,69322,0,35,68.0,67.697265625,92,[]
Road,main,rotation_90,0,0.9984126984126984,0.998046875,0.001953125,69322,0,36,68.0,67.697265625,92,[]
Road,main,rotation_135,0,0.9984126984126984,0.998046875,0.001953125,69322,0,35,68.0,67.697265625,92,[]
Road,main,rotation_180,0,0.9992072927806908,0.9990234375,0.0009765625,69322,0,35,67.0,67.697265625,92,[]
Road,main,rotation_225,0,0.9984126984126984,0.998046875,0.001953125,69322,0,35,68.0,67.697265625,92,[]
Road,main,rotation_270,0,0.9984126984126984,0.998046875,0.001953125,69322,0,36,68.0,67.697265625,92,[]
Road,main,rotation_315,0,0.9968253968253968,0.99609375,0.00390625,69322,0,35,67.0,67.697265625,92,[]
Road,main,reverse_vertices,0,0.9992072927806908,0.9990234375,0.0009765625,69321,0,36,68.0,67.6962890625,92,[]
Road,main,reverse_objects,0,0.998416467731765,0.998046875,0.001953125,69322,0,36,68.0,67.697265625,92,[]
Road,main,compound,1,0.8287178952487311,0.7919921875,0.2080078125,39000,0,21,38.0,38.0859375,56,"[1, 2025, 233337, 2024]"
Road,main,addition_alpha0_pct10,233337,0.9992072927806908,0.9990234375,0.0009765625,76187,0,42,74.0,74.4013671875,106,[233337]
Road,main,addition_alpha0_pct30,233337,0.9976212494588168,0.9970703125,0.0029296875,89915,0,44,88.0,87.8076171875,124,[233337]
Road,main,addition_alpha0_pct50,233337,0.9936356121857464,0.9921875,0.0078125,103547,0,59,101.0,101.1201171875,142,[233337]
Road,main,addition_alpha0.5_pct10,233337,0.9944403454588449,0.9931640625,0.0068359375,76189,0,45,74.0,74.4033203125,103,[233337]
Road,main,addition_alpha0.5_pct30,233337,0.973830599630705,0.9677734375,0.0322265625,89933,0,56,87.0,87.8251953125,120,[233337]
Road,main,addition_alpha0.5_pct50,233337,0.9026037783274716,0.8818359375,0.1181640625,103571,0,73,101.0,101.1435546875,131,[233337]
Road,main,addition_alpha1_pct10,233337,0.993662103599709,0.9921875,0.0078125,76189,0,42,74.0,74.4033203125,107,[233337]
