figure,panel,dataset,vertex_deletion_ratio,vertex_deletion_percent,yan_2017,li_2021,zhang_2025,lin_2018,xi_2022,proposed
Figure_13,a,Railways,0.0,0,0.96688,1.0,1.0,1.0,1.0,1.0
Figure_13,a,Railways,0.1,10,0.9648,1.0,0.8758,0.7783,0.6514,1.0
Figure_13,a,Railways,0.2,20,0.4922,1.0,0.8405,0.5501,0.5781,1.0
Figure_13,a,Railways,0.3,30,0.4844,1.0,0.8316,0.5798,0.5625,0.9992072927806908
Figure_13,a,Railways,0.4,40,0.4795,0.4678,0.8255,0.5805,0.5381,0.9968253968253968
Figure_13,a,Railways,0.5,50,0.4775,0.4883,0.8446,0.5669,0.5098,0.9928631194931944
Figure_13,b,Building,0.0,0,0.9561,1.0,0.5386,0.56,0.627,0.9864479554980152
Figure_13,b,Building,0.1,10,0.502,1.0,0.5386,0.7828,0.6143,0.9792313359041316
Figure_13,b,Building,0.2,20,0.4902,1.0,0.5464,0.5354,0.584,0.9776312847016736
Figure_13,b,Building,0.3,30,0.4502,1.0,0.537,0.5534,0.5977,0.9688898203677916
Figure_13,b,Building,0.4,40,0.4629,1.0,0.5619,0.5451,0.5977,0.954656656825879
Figure_13,b,Building,0.5,50,0.4863,0.4639,0.5641,0.5557,0.5898,0.929309268519847
Figure_13,c,Landuse,0.0,0,0.9775,1.0,1.0,0.98,0.9004,0.9992060340153568
Figure_13,c,Landuse,0.1,10,0.9736,1.0,0.6132,0.7843,0.6465,0.9984114366459336
Figure_13,c,Landuse,0.2,20,0.9717,1.0,0.5821,0.5517,0.5898,0.9952380952380953
Figure_13,c,Landuse,0.3,30,0.9609,0.4805,0.5812,0.5486,0.5898,0.9912933744490252
Figure_13,c,Landuse,0.4,40,0.9561,0.5,0.5612,0.5588,0.5596,0.9761195997914462
Figure_13,c,Landuse,0.5,50,0.4551,0.4951,0.5682,0.5715,0.54,0.9374588563774604
Figure_13,d,Boundary,0.0,0,1.0,1.0,1.0,0.61,1.0,1.0
Figure_13,d,Boundary,0.1,10,1.0,1.0,0.7126,0.7747,0.5146,0.9928365648204364
Figure_13,d,Boundary,0.2,20,1.0,1.0,0.6132,0.5568,0.5107,0.984045648229397
Figure_13,d,Boundary,0.3,30,1.0,1.0,0.6022,0.5747,0.5215,0.9720152795189112
Figure_13,d,Boundary,0.4,40,1.0,1.0,0.6039,0.5433,0.501,0.9329263937759218
Figure_13,d,Boundary,0.5,50,1.0,1.0,0.6845,0.5491,0.4961,0.8727036150462316
Figure_13,e,Road,0.0,0,1.0,1.0,1.0,1.0,1.0,0.9992072927806908
Figure_13,e,Road,0.1,10,0.4951,1.0,0.8091,0.7696,0.5703,0.9928631194931944
Figure_13,e,Road,0.2,20,0.4941,0.4824,0.7835,0.5179,0.5195,0.9928631194931944
Figure_13,e,Road,0.3,30,0.4902,0.4863,0.7616,0.5625,0.499,0.981792159997437
Figure_13,e,Road,0.4,40,0.4844,0.4902,0.7846,0.543,0.5205,0.9517049809007414
Figure_13,e,Road,0.5,50,0.498,0.499,0.7766,0.5368,0.5342,0.8869471730568279
Figure_13,f,Lake,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
Figure_13,f,Lake,0.1,10,1.0,1.0,0.5764,0.763,0.5391,0.998416467731765
Figure_13,f,Lake,0.2,20,1.0,1.0,0.5805,0.5719,0.5176,0.993662103599709
Figure_13,f,Lake,0.3,30,1.0,0.4844,0.6092,0.5443,0.5459,0.980114167674569
Figure_13,f,Lake,0.4,40,1.0,0.4844,0.5987,0.5432,0.4961,0.9567749998666648
Figure_13,f,Lake,0.5,50,0.999,0.4902,0.5847,0.5631,0.5059,0.919267166965102
