dataset,series,attack,seed,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,attack_seeds
Railways,main,no_attack,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,vertex_delete_30pct,1,0.9992072927806908,0.9990234375,0.0009765625,40169,0,20,39.0,39.2275390625,99,[1]
Railways,main,vertex_delete_50pct,1,0.9928631194931944,0.9912109375,0.0087890625,31904,0,14,31.0,31.15625,72,[1]
Railways,main,object_delete_30pct,2025,1.0,1.0,0.0,37901,0,18,37.0,37.0126953125,108,[2025]
Railways,main,object_delete_90pct,2025,0.9454619308661564,0.9326171875,0.0673828125,6073,0,1,6.0,5.9306640625,20,[2025]
Railways,main,vertex_add_10pct,233337,0.9992072927806908,0.9990234375,0.0009765625,57168,0,33,56.0,55.828125,137,[233337]
Railways,main,vertex_add_30pct,233337,0.997617471163186,0.9970703125,0.0029296875,66593,0,37,65.0,65.0322265625,146,[233337]
Railways,main,vertex_add_50pct,233337,0.9825131653617624,0.978515625,0.021484375,76027,0,50,74.0,74.2451171875,128,[233337]
Railways,main,noise_10pct_0p6tau,2024,1.0,1.0,0.0,52474,0,29,51.0,51.244140625,117,[2024]
Railways,main,noise_50pct_1p4tau,2024,0.8860912478088324,0.861328125,0.138671875,52474,0,27,51.0,51.244140625,76,[2024]
Railways,main,crop_half_x,0,1.0,1.0,0.0,49903,0,29,49.0,48.7333984375,138,[]
Railways,main,translation_10,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,scale_0p5,0,1.0,1.0,0.0,52472,0,28,51.0,51.2421875,141,[]
Railways,main,rotation_45,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,rotation_90,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,rotation_135,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,rotation_180,0,1.0,1.0,0.0,52473,0,28,51.0,51.2431640625,141,[]
Railways,main,rotation_225,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,rotation_270,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,rotation_315,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,reverse_vertices,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,reverse_objects,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,compound,1,0.9360837420717976,0.9208984375,0.0791015625,31553,0,10,31.0,30.8134765625,55,"[1, 2025, 233337, 2024]"
Railways,main,addition_alpha0_pct10,233337,1.0,1.0,0.0,57168,0,31,56.0,55.828125,155,[233337]
Railways,main,addition_alpha0_pct30,233337,1.0,1.0,0.0,66593,0,34,65.0,65.0322265625,172,[233337]
Railways,main,addition_alpha0_pct50,233337,1.0,1.0,0.0,76027,0,39,74.0,74.2451171875,202,[233337]
Railways,main,addition_alpha0.5_pct10,233337,1.0,1.0,0.0,57168,0,33,56.0,55.828125,134,[233337]
Railways,main,addition_alpha0.5_pct30,233337,0.9992072927806908,0.9990234375,0.0009765625,66593,0,40,65.0,65.0322265625,129,[233337]
Railways,main,addition_alpha0.5_pct50,233337,0.982599856805384,0.978515625,0.021484375,76027,0,48,74.0,74.2451171875,136,[233337]
Railways,main,addition_alpha1_pct10,233337,0.9992072927806908,0.9990234375,0.0009765625,57168,0,33,56.0,55.828125,137,[233337]
Railways,main,addition_alpha1_pct30,233337,0.997617471163186,0.9970703125,0.0029296875,66593,0,37,65.0,65.0322265625,146,[233337]
Railways,main,addition_alpha1_pct50,233337,0.9825131653617624,0.978515625,0.021484375,76027,0,50,74.0,74.2451171875,128,[233337]
Railways,main,noise_strength0.6_pct10,2024,1.0,1.0,0.0,52474,0,29,51.0,51.244140625,117,[2024]
Railways,main,noise_strength0.6_pct30,2024,0.9904761904761904,0.98828125,0.01171875,52474,0,25,51.0,51.244140625,76,[2024]
Railways,main,noise_strength0.6_pct50,2024,0.9049139731346632,0.8828125,0.1171875,52474,0,31,51.0,51.244140625,74,[2024]
Railways,main,noise_strength1_pct10,2024,0.9992072927806908,0.9990234375,0.0009765625,52474,0,27,51.0,51.244140625,121,[2024]
Railways,main,noise_strength1_pct30,2024,0.9840814236070372,0.98046875,0.01953125,52474,0,24,51.0,51.244140625,80,[2024]
Railways,main,noise_strength1_pct50,2024,0.8843175198018813,0.859375,0.140625,52474,0,29,51.0,51.244140625,76,[2024]
Railways,main,noise_strength1.4_pct10,2024,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,119,[2024]
Railways,main,noise_strength1.4_pct30,2024,0.9888888888888888,0.986328125,0.013671875,52474,0,27,51.0,51.244140625,77,[2024]
Railways,main,noise_strength1.4_pct50,2024,0.8860912478088324,0.861328125,0.138671875,52474,0,27,51.0,51.244140625,76,[2024]
Railways,main,vertex_delete_10pct,1,1.0,1.0,0.0,48364,0,27,47.0,47.23046875,126,[1]
Railways,main,vertex_delete_20pct,1,1.0,1.0,0.0,44298,0,24,43.0,43.259765625,114,[1]
Railways,main,vertex_delete_40pct,1,0.9968253968253968,0.99609375,0.00390625,36035,0,15,35.0,35.1904296875,84,[1]
Railways,main,object_delete_10pct,2025,1.0,1.0,0.0,47986,0,23,47.0,46.861328125,130,[2025]
Railways,main,object_delete_50pct,2025,0.9992060340153568,0.9990234375,0.0009765625,26210,0,9,25.0,25.595703125,74,[2025]
Railways,main,object_delete_70pct,2025,0.9968216095175164,0.99609375,0.00390625,15923,0,5,15.0,15.5498046875,48,[2025]
Railways,main,scale_0.1,0,1.0,1.0,0.0,52472,0,28,51.0,51.2421875,140,[]
Railways,main,scale_0.9,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,scale_1.3,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,scale_1.7,0,1.0,1.0,0.0,52472,0,28,51.0,51.2421875,141,[]
Railways,main,scale_2.1,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,translation_20,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,translation_30,0,1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141,[]
Railways,main,translation_40,0,1.0,1.0,0.0,52472,0,28,51.0,51.2421875,141,[]
