dataset,attack,n,nc_mean,nc_std,accuracy_mean,erasures_mean
Boundary,compound,10,0.8222920859985052,0.009018550035357169,0.7869140625,0.0
Boundary,noise_50pct_1p4tau,10,0.8087071202318526,0.014726232062459222,0.77236328125,0.0
Boundary,object_delete_30pct,10,0.9940440457611711,0.003578626347735245,0.99267578125,0.0
Boundary,object_delete_90pct,10,0.8620330646375389,0.018422058312790413,0.82998046875,0.0
Boundary,vertex_add_50pct,10,0.9082374306223493,0.011159029225263292,0.8888671875,0.0
Boundary,vertex_delete_30pct,10,0.9689541136344604,0.0036854275098860464,0.962109375,0.0
Boundary,vertex_delete_50pct,10,0.8856429714793282,0.006490800059896224,0.8619140625,0.0
Building,compound,10,0.8904428060047008,0.005045891577815642,0.8658203125,0.0
Building,noise_50pct_1p4tau,10,0.8707759075223214,0.009200775184804381,0.84375,0.0
Building,object_delete_30pct,10,0.9844538702809965,0.001209121843988119,0.98095703125,0.0
Building,object_delete_90pct,10,0.9214067041843735,0.009649335341767578,0.904296875,39.1
Building,vertex_add_50pct,10,0.9370703252260769,0.003353447165359065,0.9234375,0.0
Building,vertex_delete_30pct,10,0.9698213058214998,0.0027808304988815114,0.9630859375,0.0
Building,vertex_delete_50pct,10,0.916635331257017,0.005217580192403179,0.89775390625,0.0
Lake,compound,10,0.8472203662981828,0.011279349014041077,0.81494140625,0.0
Lake,noise_50pct_1p4tau,10,0.8431218808753188,0.010042626196499076,0.81103515625,0.0
Lake,object_delete_30pct,10,0.9984133810213368,0.0011210328388523306,0.998046875,0.0
Lake,object_delete_90pct,10,0.8968455911570281,0.020376043844987583,0.87216796875,2.9
Lake,vertex_add_50pct,10,0.9333286210198093,0.008180914278120982,0.91875,0.0
Lake,vertex_delete_30pct,10,0.9794598000101585,0.0015785189223703861,0.9748046875,0.0
Lake,vertex_delete_50pct,10,0.9117521715844358,0.004687050565934473,0.892578125,0.0
Landuse,compound,10,0.885515276371313,0.010494812849424702,0.8599609375,0.0
Landuse,noise_50pct_1p4tau,10,0.8650563527119777,0.009962500462099013,0.83662109375,0.0
Landuse,object_delete_30pct,10,0.9986502575754577,0.0005359904143163434,0.99833984375,0.0
Landuse,object_delete_90pct,10,0.9211296800154061,0.010074824616660148,0.9025390625,24.1
Landuse,vertex_add_50pct,10,0.950860381702886,0.004355116943873465,0.93984375,0.0
Landuse,vertex_delete_30pct,10,0.9898463994566233,0.00292034106868462,0.9875,0.0
Landuse,vertex_delete_50pct,10,0.9373518911034647,0.009144162934909245,0.92333984375,0.0
Railways,compound,10,0.9287253162027383,0.00619514707642858,0.91259765625,0.0
Railways,noise_50pct_1p4tau,10,0.8912506042371394,0.007248286999514755,0.86748046875,0.0
Railways,object_delete_30pct,10,0.9998413326796047,0.00033450021337003307,0.9998046875,0.0
Railways,object_delete_90pct,10,0.9412375061574849,0.01257982554340103,0.9271484375,8.6
Railways,vertex_add_50pct,10,0.9823365442247283,0.004013787512880591,0.9783203125,0.0
Railways,vertex_delete_30pct,10,0.9990478701510052,0.0006265554104339956,0.998828125,0.0
Railways,vertex_delete_50pct,10,0.9884217436622931,0.00409745181715177,0.9857421875,0.0
Road,compound,10,0.8316883158838613,0.010779918955283666,0.7962890625,0.0
Road,noise_50pct_1p4tau,10,0.8165316704128788,0.008003446653226231,0.7810546875,0.0
Road,object_delete_30pct,10,0.9938853082943826,0.0014041070664158341,0.99248046875,0.0
Road,object_delete_90pct,10,0.8663554985449119,0.020571631019094035,0.83408203125,3.6
Road,vertex_add_50pct,10,0.913596846221773,0.0056168734650220925,0.89462890625,0.0
Road,vertex_delete_30pct,10,0.9679540539615294,0.0058235537550303616,0.96044921875,0.0
Road,vertex_delete_50pct,10,0.8937900425980135,0.008084238625077138,0.86962890625,0.0
