dataset,series,attack,seed,attack_seeds,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max
Boundary,main,no_attack,0,[],1.0,1.0,0.0,123842,0,89,121.0,120.939453125,198
Boundary,main,vertex_delete_30pct,1,[1],0.9704860144705392,0.9638671875,0.0361328125,86968,0,54,85.0,84.9296875,150
Boundary,main,vertex_delete_50pct,1,[1],0.8949907453022913,0.873046875,0.126953125,62350,0,34,61.0,60.888671875,127
Boundary,main,object_delete_30pct,2025,[2025],0.9992060340153568,0.9990234375,0.0009765625,88659,0,59,86.0,86.5810546875,143
Boundary,main,object_delete_90pct,2025,[2025],0.9098146822272074,0.888671875,0.111328125,18096,0,6,17.0,17.671875,36
Boundary,main,vertex_add_10pct,233337,[233337],1.0,1.0,0.0,136276,0,99,132.0,133.08203125,204
Boundary,main,vertex_add_30pct,233337,[233337],0.9856737883701553,0.982421875,0.017578125,160889,0,121,157.0,157.1181640625,228
Boundary,main,vertex_add_50pct,233337,[233337],0.9186146037148597,0.9013671875,0.0986328125,185611,0,143,181.0,181.2607421875,267
Boundary,main,noise_10pct_0p6tau,2024,[2024],0.9968216095175163,0.99609375,0.00390625,123855,0,93,121.0,120.9521484375,181
Boundary,main,noise_50pct_1p4tau,2024,[2024],0.8422784767950848,0.80859375,0.19140625,123902,0,83,121.0,120.998046875,159
Boundary,main,crop_half_x,0,[],1.0,1.0,0.0,120048,0,87,117.0,117.234375,196
Boundary,main,translation_10,0,[],1.0,1.0,0.0,123836,0,89,121.0,120.93359375,196
Boundary,main,scale_0p5,0,[],1.0,1.0,0.0,123819,0,89,121.0,120.9169921875,197
Boundary,main,rotation_45,0,[],1.0,1.0,0.0,123850,0,89,121.0,120.947265625,198
Boundary,main,rotation_90,0,[],1.0,1.0,0.0,123842,0,89,121.0,120.939453125,198
Boundary,main,rotation_135,0,[],1.0,1.0,0.0,123849,0,89,121.0,120.9462890625,198
Boundary,main,rotation_180,0,[],1.0,1.0,0.0,123843,0,89,121.0,120.9404296875,198
Boundary,main,rotation_225,0,[],1.0,1.0,0.0,123849,0,89,121.0,120.9462890625,197
Boundary,main,rotation_270,0,[],1.0,1.0,0.0,123842,0,89,121.0,120.939453125,198
Boundary,main,rotation_315,0,[],1.0,1.0,0.0,123852,0,89,121.0,120.94921875,196
Boundary,main,reverse_vertices,0,[],1.0,1.0,0.0,123844,0,89,121.0,120.94140625,198
Boundary,main,reverse_objects,0,[],1.0,1.0,0.0,123842,0,89,121.0,120.939453125,198
Boundary,main,compound,1,"[1, 2025, 233337, 2024]",0.8254984727524904,0.79296875,0.20703125,68382,0,43,66.0,66.779296875,99
Boundary,main,addition_alpha0_pct10,233337,[233337],1.0,1.0,0.0,136262,0,100,133.0,133.068359375,213
Boundary,main,addition_alpha0_pct30,233337,[233337],0.9984114366459335,0.998046875,0.001953125,160842,0,113,156.0,157.072265625,238
Boundary,main,addition_alpha0_pct50,233337,[233337],1.0,1.0,0.0,185563,0,132,181.0,181.2138671875,281
Boundary,main,addition_alpha0.5_pct10,233337,[233337],0.9984126984126984,0.998046875,0.001953125,136276,0,98,132.0,133.08203125,198
Boundary,main,addition_alpha0.5_pct30,233337,[233337],0.98325556729252,0.9794921875,0.0205078125,160889,0,120,156.0,157.1181640625,249
Boundary,main,addition_alpha0.5_pct50,233337,[233337],0.9063197420782697,0.88671875,0.11328125,185611,0,137,181.0,181.2607421875,286
Boundary,main,addition_alpha1_pct10,233337,[233337],1.0,1.0,0.0,136276,0,99,132.0,133.08203125,204
Boundary,main,addition_alpha1_pct30,233337,[233337],0.9856737883701553,0.982421875,0.017578125,160889,0,121,157.0,157.1181640625,228
Boundary,main,addition_alpha1_pct50,233337,[233337],0.9186146037148597,0.9013671875,0.0986328125,185611,0,143,181.0,181.2607421875,267
Boundary,main,noise_strength0.6_pct10,2024,[2024],0.9968216095175163,0.99609375,0.00390625,123855,0,93,121.0,120.9521484375,181
Boundary,main,noise_strength0.6_pct30,2024,[2024],0.9522341283446735,0.94140625,0.05859375,123888,0,91,121.0,120.984375,158
Boundary,main,noise_strength0.6_pct50,2024,[2024],0.815079509976649,0.78125,0.21875,123902,0,85,121.0,120.998046875,159
Boundary,main,noise_strength1_pct10,2024,[2024],0.9968216095175163,0.99609375,0.00390625,123855,0,85,121.0,120.9521484375,180
Boundary,main,noise_strength1_pct30,2024,[2024],0.9470902829840782,0.935546875,0.064453125,123888,0,87,120.0,120.984375,159
Boundary,main,noise_strength1_pct50,2024,[2024],0.8267049138578973,0.7919921875,0.2080078125,123902,0,79,121.0,120.998046875,156
Boundary,main,noise_strength1.4_pct10,2024,[2024],0.9944289260117531,0.9931640625,0.0068359375,123855,0,88,121.0,120.9521484375,187
Boundary,main,noise_strength1.4_pct30,2024,[2024],0.9514019730301773,0.9404296875,0.0595703125,123888,0,90,121.0,120.984375,157
Boundary,main,noise_strength1.4_pct50,2024,[2024],0.8422784767950848,0.80859375,0.19140625,123902,0,83,121.0,120.998046875,159
Boundary,main,vertex_delete_10pct,1,[1],0.9984114366459335,0.998046875,0.001953125,111621,0,81,109.0,109.0048828125,186
Boundary,main,vertex_delete_20pct,1,[1],0.9896607342428279,0.9873046875,0.0126953125,99353,0,69,97.0,97.0244140625,169
Boundary,main,vertex_delete_40pct,1,[1],0.9441894362328417,0.931640625,0.068359375,74566,0,39,73.0,72.818359375,139
Boundary,main,object_delete_10pct,2025,[2025],0.9992060340153568,0.9990234375,0.0009765625,116095,0,82,113.0,113.3740234375,186
Boundary,main,object_delete_50pct,2025,[2025],0.9944340175269573,0.9931640625,0.0068359375,62102,0,39,60.0,60.646484375,105
Boundary,main,object_delete_70pct,2025,[2025],0.9722445563088309,0.9658203125,0.0341796875,37761,0,18,37.0,36.8759765625,71
Boundary,main,scale_0.1,0,[],1.0,1.0,0.0,123814,0,89,121.0,120.912109375,198
Boundary,main,scale_0.9,0,[],1.0,1.0,0.0,123839,0,89,121.0,120.9365234375,198
Boundary,main,scale_1.3,0,[],1.0,1.0,0.0,123842,0,89,121.0,120.939453125,196
Boundary,main,scale_1.7,0,[],1.0,1.0,0.0,123831,0,89,121.0,120.9287109375,196
Boundary,main,scale_2.1,0,[],1.0,1.0,0.0,123821,0,89,121.0,120.9189453125,196
Boundary,main,translation_20,0,[],1.0,1.0,0.0,123825,0,89,121.0,120.9228515625,196
Boundary,main,translation_30,0,[],1.0,1.0,0.0,123825,0,89,121.0,120.9228515625,196
Boundary,main,translation_40,0,[],1.0,1.0,0.0,123852,0,89,121.0,120.94921875,198
Boundary,main,translation_50,0,[],1.0,1.0,0.0,123852,0,89,121.0,120.94921875,198
Boundary,main,translation_60,0,[],1.0,1.0,0.0,123823,0,89,121.0,120.9208984375,198
Boundary,repeat,vertex_delete_30pct,1,[1],0.9704860144705392,0.9638671875,0.0361328125,86968,0,54,85.0,84.9296875,150
Boundary,repeat,vertex_delete_50pct,1,[1],0.8949907453022913,0.873046875,0.126953125,62350,0,34,61.0,60.888671875,127
Boundary,repeat,object_delete_30pct,1,[1],0.9928429230989141,0.9912109375,0.0087890625,80786,0,52,79.0,78.892578125,110
Boundary,repeat,object_delete_90pct,1,[1],0.860348621380955,0.8291015625,0.1708984375,10138,0,2,10.0,9.900390625,23
Boundary,repeat,vertex_add_50pct,1,[1],0.9206349206349206,0.90234375,0.09765625,185671,0,137,181.0,181.3193359375,259
Boundary,repeat,noise_50pct_1p4tau,1,[1],0.8460596867030435,0.8154296875,0.1845703125,123912,0,82,121.0,121.0078125,155
Boundary,repeat,compound,1,"[1, 10001, 20001, 30001]",0.8292351184278938,0.7919921875,0.2080078125,63223,0,40,62.0,61.7412109375,93
Boundary,repeat,vertex_delete_30pct,2,[2],0.9737129070710859,0.9677734375,0.0322265625,86921,0,58,85.0,84.8837890625,145
Boundary,repeat,vertex_delete_50pct,2,[2],0.9018660554593643,0.880859375,0.119140625,62513,0,40,61.0,61.0478515625,114
Boundary,repeat,object_delete_30pct,2,[2],0.9952317823890993,0.994140625,0.005859375,78497,0,48,76.0,76.6572265625,109
Boundary,repeat,object_delete_90pct,2,[2],0.8848756557326991,0.857421875,0.142578125,12798,0,3,12.0,12.498046875,24
Boundary,repeat,vertex_add_50pct,2,[2],0.9196902205939566,0.90234375,0.09765625,185538,0,139,181.0,181.189453125,285
Boundary,repeat,noise_50pct_1p4tau,2,[2],0.8158215665520411,0.78125,0.21875,123919,0,92,121.0,121.0146484375,155
Boundary,repeat,compound,2,"[2, 10002, 20002, 30002]",0.8516756410592121,0.822265625,0.177734375,62098,0,36,61.0,60.642578125,85
Boundary,repeat,vertex_delete_30pct,3,[3],0.971933220835405,0.9658203125,0.0341796875,87059,0,54,85.0,85.0185546875,150
Boundary,repeat,vertex_delete_50pct,3,[3],0.8920657647670801,0.8701171875,0.1298828125,62480,0,36,61.0,61.015625,128
Boundary,repeat,object_delete_30pct,3,[3],0.9960289083110154,0.9951171875,0.0048828125,90401,0,62,87.5,88.2822265625,149
Boundary,repeat,object_delete_90pct,3,[3],0.8670656613325892,0.833984375,0.166015625,10033,0,1,10.0,9.7978515625,31
Boundary,repeat,vertex_add_50pct,3,[3],0.919170956250173,0.9013671875,0.0986328125,185533,0,132,181.0,181.1845703125,271
Boundary,repeat,noise_50pct_1p4tau,3,[3],0.8222060705993897,0.7880859375,0.2119140625,123916,0,87,121.0,121.01171875,157
Boundary,repeat,compound,3,"[3, 10003, 20003, 30003]",0.8455478584506984,0.81640625,0.18359375,69209,0,42,68.0,67.5869140625,100
Boundary,repeat,vertex_delete_30pct,4,[4],0.97297420259126,0.966796875,0.033203125,86942,0,59,84.0,84.904296875,146
Boundary,repeat,vertex_delete_50pct,4,[4],0.897477386809602,0.875,0.125,62329,0,38,61.0,60.8681640625,116
Boundary,repeat,object_delete_30pct,4,[4],0.9984126984126984,0.998046875,0.001953125,90171,0,62,88.0,88.0576171875,132
Boundary,repeat,object_delete_90pct,4,[4],0.9102644391638889,0.888671875,0.111328125,15679,0,4,15.0,15.3115234375,31
Boundary,repeat,vertex_add_50pct,4,[4],0.9272722963021922,0.912109375,0.087890625,185408,0,142,181.0,181.0625,266
Boundary,repeat,noise_50pct_1p4tau,4,[4],0.8464270861001397,0.8125,0.1875,123903,0,90,121.0,120.9990234375,156
Boundary,repeat,compound,4,"[4, 10004, 20004, 30004]",0.8381555393230593,0.806640625,0.193359375,59557,0,30,58.0,58.1611328125,90
Boundary,repeat,vertex_delete_30pct,5,[5],0.9816401120120496,0.9775390625,0.0224609375,86962,0,59,84.0,84.923828125,147
Boundary,repeat,vertex_delete_50pct,5,[5],0.9148666704859463,0.896484375,0.103515625,62339,0,37,60.0,60.8779296875,111
Boundary,repeat,object_delete_30pct,5,[5],0.9968203417119826,0.99609375,0.00390625,82657,0,54,80.0,80.7197265625,137
Boundary,repeat,object_delete_90pct,5,[5],0.8809523809523809,0.853515625,0.146484375,13220,0,2,12.0,12.91015625,35
Boundary,repeat,vertex_add_50pct,5,[5],0.9343380651964249,0.919921875,0.080078125,185710,0,142,181.0,181.357421875,295
Boundary,repeat,noise_50pct_1p4tau,5,[5],0.8241342694793002,0.7890625,0.2109375,123909,0,91,121.0,121.0048828125,159
Boundary,repeat,compound,5,"[5, 10005, 20005, 30005]",0.8318969330857163,0.80078125,0.19921875,65687,0,42,64.0,64.1474609375,98
Boundary,repeat,vertex_delete_30pct,6,[6],0.9793650793650793,0.974609375,0.025390625,86933,0,56,85.0,84.8955078125,141
Boundary,repeat,vertex_delete_50pct,6,[6],0.9070932159539906,0.88671875,0.11328125,62371,0,37,61.0,60.9091796875,112
Boundary,repeat,object_delete_30pct,6,[6],0.9992060340153568,0.9990234375,0.0009765625,95701,0,66,93.0,93.4580078125,162
Boundary,repeat,object_delete_90pct,6,[6],0.8901636390843124,0.86328125,0.13671875,10290,0,2,10.0,10.048828125,21
Boundary,repeat,vertex_add_50pct,6,[6],0.9358536186096907,0.921875,0.078125,185452,0,134,180.5,181.10546875,259
Boundary,repeat,noise_50pct_1p4tau,6,[6],0.8276426175491489,0.79296875,0.20703125,123912,0,85,121.0,121.0078125,168
Boundary,repeat,compound,6,"[6, 10006, 20006, 30006]",0.8429694490364712,0.8134765625,0.1865234375,66741,0,44,65.0,65.1767578125,102
Boundary,repeat,vertex_delete_30pct,7,[7],0.9777777777777777,0.97265625,0.02734375,86963,0,55,85.0,84.9248046875,153
Boundary,repeat,vertex_delete_50pct,7,[7],0.9144118826325399,0.896484375,0.103515625,62555,0,34,61.0,61.0888671875,111
Boundary,repeat,object_delete_30pct,7,[7],0.9984126984126984,0.998046875,0.001953125,89686,0,56,87.0,87.583984375,137
Boundary,repeat,object_delete_90pct,7,[7],0.8862658775729914,0.859375,0.140625,11654,0,2,11.0,11.380859375,24
Boundary,repeat,vertex_add_50pct,7,[7],0.9168671945782516,0.8974609375,0.1025390625,185500,0,145,181.0,181.15234375,263
Boundary,repeat,noise_50pct_1p4tau,7,[7],0.7984791126247824,0.76171875,0.23828125,123912,0,87,121.0,121.0078125,164
Boundary,repeat,compound,7,"[7, 10007, 20007, 30007]",0.8496747581983778,0.818359375,0.181640625,67411,0,40,66.0,65.8310546875,94
Boundary,repeat,vertex_delete_30pct,8,[8],0.9776826425856958,0.97265625,0.02734375,87021,0,54,85.0,84.9814453125,152
Boundary,repeat,vertex_delete_50pct,8,[8],0.910909489225453,0.8916015625,0.1083984375,62450,0,34,61.0,60.986328125,118
Boundary,repeat,object_delete_30pct,8,[8],0.9992060340153568,0.9990234375,0.0009765625,89471,0,63,87.0,87.3740234375,157
Boundary,repeat,object_delete_90pct,8,[8],0.8521473408315611,0.818359375,0.181640625,9969,0,1,9.0,9.7353515625,21
Boundary,repeat,vertex_add_50pct,8,[8],0.9222634295861488,0.9052734375,0.0947265625,185396,0,133,180.0,181.05078125,281
Boundary,repeat,noise_50pct_1p4tau,8,[8],0.8057156431106131,0.7734375,0.2265625,123903,0,88,121.0,120.9990234375,154
Boundary,repeat,compound,8,"[8, 10008, 20008, 30008]",0.8259638264848215,0.79296875,0.20703125,63724,0,40,62.0,62.23046875,96
Boundary,repeat,vertex_delete_30pct,9,[9],0.9768707908815296,0.9716796875,0.0283203125,86678,0,53,84.0,84.646484375,156
Boundary,repeat,vertex_delete_50pct,9,[9],0.8997219778456115,0.8798828125,0.1201171875,62135,0,32,61.0,60.6787109375,134
Boundary,repeat,object_delete_30pct,9,[9],0.9976174711631861,0.9970703125,0.0029296875,86492,0,54,84.0,84.46484375,150
Boundary,repeat,object_delete_90pct,9,[9],0.8753808644367996,0.8408203125,0.1591796875,8667,0,1,8.0,8.4638671875,20
Boundary,repeat,vertex_add_50pct,9,[9],0.9111750264108318,0.892578125,0.107421875,185642,0,135,181.0,181.291015625,251
Boundary,repeat,noise_50pct_1p4tau,9,[9],0.8297216844473545,0.796875,0.203125,123914,0,84,121.0,121.009765625,153
Boundary,repeat,compound,9,"[9, 10009, 20009, 30009]",0.8374179240556349,0.8046875,0.1953125,67714,0,42,66.0,66.126953125,95
Boundary,repeat,vertex_delete_30pct,10,[10],0.978554716937138,0.9736328125,0.0263671875,86813,0,57,85.0,84.7783203125,149
Boundary,repeat,vertex_delete_50pct,10,[10],0.9009768597424999,0.87890625,0.12109375,62092,0,37,60.0,60.63671875,123
Boundary,repeat,object_delete_30pct,10,[10],0.9968253968253968,0.99609375,0.00390625,91915,0,63,90.0,89.7607421875,152
Boundary,repeat,object_delete_90pct,10,[10],0.8695251909915969,0.8369140625,0.1630859375,8775,0,1,8.0,8.5693359375,19
Boundary,repeat,vertex_add_50pct,10,[10],0.9290643171655244,0.9140625,0.0859375,185710,0,136,181.0,181.357421875,294
Boundary,repeat,noise_50pct_1p4tau,10,[10],0.8281359836427178,0.79296875,0.20703125,123913,0,83,121.0,121.0087890625,155
Boundary,repeat,compound,10,"[10, 10010, 20010, 30010]",0.8374185579922631,0.8037109375,0.1962890625,64873,0,40,63.0,63.3525390625,98
