dataset,series,attack,seed,attack_seeds,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max
Building,main,no_attack,0,[],0.9888585178963917,0.986328125,0.013671875,41105,0,15,37.0,40.1416015625,234
Building,main,vertex_delete_30pct,1,[1],0.9752179657776225,0.9697265625,0.0302734375,32029,0,10,28.0,31.2783203125,232
Building,main,vertex_delete_50pct,1,[1],0.9298352049387613,0.9140625,0.0859375,26382,0,7,23.0,25.763671875,228
Building,main,object_delete_30pct,2025,[2025],0.9896492885288779,0.9873046875,0.0126953125,29314,0,9,26.0,28.626953125,166
Building,main,object_delete_90pct,2025,[2025],0.937296507638125,0.923828125,0.076171875,4020,43,0,3.0,3.92578125,25
Building,main,vertex_add_10pct,233337,[233337],0.9872521301150827,0.984375,0.015625,44809,0,19,41.0,43.7587890625,237
Building,main,vertex_add_30pct,233337,[233337],0.9760312334992159,0.970703125,0.029296875,52321,0,25,49.0,51.0947265625,241
Building,main,vertex_add_50pct,233337,[233337],0.954656656825879,0.9443359375,0.0556640625,59776,0,33,56.0,58.375,250
Building,main,noise_10pct_0p6tau,2024,[2024],0.9856572155268516,0.982421875,0.017578125,41581,0,13,38.0,40.6064453125,197
Building,main,noise_50pct_1p4tau,2024,[2024],0.8883674256447514,0.86328125,0.13671875,42872,0,23,41.0,41.8671875,103
Building,main,crop_half_x,0,[],0.9880556503830986,0.9853515625,0.0146484375,40926,0,15,37.0,39.966796875,233
Building,main,translation_10,0,[],0.9952279769488644,0.994140625,0.005859375,41085,0,15,35.0,40.1220703125,864
Building,main,scale_0p5,0,[],0.9976162063830435,0.9970703125,0.0029296875,37927,0,15,34.0,37.0380859375,207
Building,main,rotation_45,0,[],0.9936419552606822,0.9921875,0.0078125,42707,0,15,39.0,41.7060546875,275
Building,main,rotation_90,0,[],0.9864479554980152,0.9833984375,0.0166015625,41105,0,15,37.0,40.1416015625,220
Building,main,rotation_135,0,[],0.9928631194931944,0.9912109375,0.0087890625,42707,0,16,38.5,41.7060546875,285
Building,main,rotation_180,0,[],0.9968216095175163,0.99609375,0.00390625,38365,0,15,34.0,37.4658203125,292
Building,main,rotation_225,0,[],0.9928429230989141,0.9912109375,0.0087890625,42631,0,15,39.0,41.6318359375,223
