dataset,series,attack,seed,attack_seeds,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max
Lake,main,no_attack,0,[],1.0,1.0,0.0,65739,0,36,64.0,64.1982421875,93
Lake,main,vertex_delete_30pct,1,[1],0.9928631194931944,0.9912109375,0.0087890625,46876,0,23,45.0,45.77734375,72
Lake,main,vertex_delete_50pct,1,[1],0.9439538943408136,0.931640625,0.068359375,34287,0,17,33.0,33.4833984375,54
Lake,main,object_delete_30pct,2025,[2025],0.9992060340153568,0.9990234375,0.0009765625,48667,0,28,47.0,47.5263671875,79
Lake,main,object_delete_90pct,2025,[2025],0.9215627092460166,0.90234375,0.09765625,6616,0,1,6.0,6.4609375,20
Lake,main,vertex_add_10pct,233337,[233337],0.9976212494588167,0.9970703125,0.0029296875,72196,0,42,70.0,70.50390625,106
Lake,main,vertex_add_30pct,233337,[233337],0.9920368738797762,0.990234375,0.009765625,85154,0,56,83.0,83.158203125,119
Lake,main,vertex_add_50pct,233337,[233337],0.959886471494042,0.951171875,0.048828125,98019,0,61,96.0,95.7216796875,130
Lake,main,noise_10pct_0p6tau,2024,[2024],1.0,1.0,0.0,65790,0,37,64.0,64.248046875,98
Lake,main,noise_50pct_1p4tau,2024,[2024],0.8637237486598417,0.8349609375,0.1650390625,65929,0,40,64.0,64.3837890625,93
Lake,main,crop_half_x,0,[],1.0,1.0,0.0,63117,0,34,62.0,61.6376953125,92
Lake,main,translation_10,0,[],1.0,1.0,0.0,65682,0,36,64.0,64.142578125,93
Lake,main,scale_0p5,0,[],1.0,1.0,0.0,64758,0,35,63.0,63.240234375,92
Lake,main,rotation_45,0,[],1.0,1.0,0.0,65811,0,35,64.0,64.2685546875,93
Lake,main,rotation_90,0,[],1.0,1.0,0.0,65746,0,36,64.0,64.205078125,94
Lake,main,rotation_135,0,[],1.0,1.0,0.0,65811,0,36,64.0,64.2685546875,92
Lake,main,rotation_180,0,[],1.0,1.0,0.0,64830,0,35,63.0,63.310546875,91
Lake,main,rotation_225,0,[],1.0,1.0,0.0,65819,0,35,64.0,64.2763671875,94
Lake,main,rotation_270,0,[],1.0,1.0,0.0,65746,0,36,64.0,64.205078125,94
Lake,main,rotation_315,0,[],1.0,1.0,0.0,65816,0,35,64.0,64.2734375,93
Lake,main,reverse_vertices,0,[],1.0,1.0,0.0,65744,0,38,64.0,64.203125,95
Lake,main,reverse_objects,0,[],1.0,1.0,0.0,65739,0,36,64.0,64.1982421875,93
Lake,main,compound,1,"[1, 2025, 233337, 2024]",0.8806707641222452,0.8564453125,0.1435546875,37826,0,17,36.0,36.939453125,58
Lake,main,addition_alpha0_pct10,233337,[233337],1.0,1.0,0.0,72196,0,42,70.0,70.50390625,105
Lake,main,addition_alpha0_pct30,233337,[233337],1.0,1.0,0.0,85154,0,45,83.0,83.158203125,126
Lake,main,addition_alpha0_pct50,233337,[233337],1.0,1.0,0.0,98019,0,52,95.0,95.7216796875,142
Lake,main,addition_alpha0.5_pct10,233337,[233337],1.0,1.0,0.0,72196,0,34,70.0,70.50390625,100
Lake,main,addition_alpha0.5_pct30,233337,[233337],0.991251828670871,0.9892578125,0.0107421875,85154,0,58,83.0,83.158203125,114
Lake,main,addition_alpha0.5_pct50,233337,[233337],0.9544611512560156,0.9443359375,0.0556640625,98019,0,67,95.0,95.7216796875,131
Lake,main,addition_alpha1_pct10,233337,[233337],0.9976212494588167,0.9970703125,0.0029296875,72196,0,42,70.0,70.50390625,106
Lake,main,addition_alpha1_pct30,233337,[233337],0.9920368738797762,0.990234375,0.009765625,85154,0,56,83.0,83.158203125,119
Lake,main,addition_alpha1_pct50,233337,[233337],0.959886471494042,0.951171875,0.048828125,98019,0,61,96.0,95.7216796875,130
Lake,main,noise_strength0.6_pct10,2024,[2024],1.0,1.0,0.0,65790,0,37,64.0,64.248046875,98
Lake,main,noise_strength0.6_pct30,2024,[2024],0.9768438248198084,0.9716796875,0.0283203125,65872,0,36,64.0,64.328125,92
Lake,main,noise_strength0.6_pct50,2024,[2024],0.8854482683340508,0.86328125,0.13671875,65929,0,42,64.0,64.3837890625,94
Lake,main,noise_strength1_pct10,2024,[2024],1.0,1.0,0.0,65790,0,40,64.0,64.248046875,94
Lake,main,noise_strength1_pct30,2024,[2024],0.9776557414227126,0.97265625,0.02734375,65872,0,38,64.0,64.328125,93
Lake,main,noise_strength1_pct50,2024,[2024],0.860573805562306,0.8330078125,0.1669921875,65929,0,40,64.0,64.3837890625,89
Lake,main,noise_strength1.4_pct10,2024,[2024],0.9992060340153568,0.9990234375,0.0009765625,65790,0,37,64.0,64.248046875,96
Lake,main,noise_strength1.4_pct30,2024,[2024],0.978554716937138,0.9736328125,0.0263671875,65872,0,39,64.0,64.328125,89
Lake,main,noise_strength1.4_pct50,2024,[2024],0.8637237486598417,0.8349609375,0.1650390625,65929,0,40,64.0,64.3837890625,93
Lake,main,vertex_delete_10pct,1,[1],1.0,1.0,0.0,59450,0,29,58.0,58.056640625,87
Lake,main,vertex_delete_20pct,1,[1],0.9992072927806908,0.9990234375,0.0009765625,53198,0,28,52.0,51.951171875,77
Lake,main,vertex_delete_40pct,1,[1],0.978523073246526,0.9736328125,0.0263671875,40559,0,18,39.0,39.6083984375,63
Lake,main,object_delete_10pct,2025,[2025],1.0,1.0,0.0,61420,0,34,60.0,59.98046875,90
Lake,main,object_delete_50pct,2025,[2025],0.9960352061369425,0.9951171875,0.0048828125,36173,0,19,35.0,35.3251953125,57
Lake,main,object_delete_70pct,2025,[2025],0.9897806060992755,0.9873046875,0.0126953125,18826,0,8,18.0,18.384765625,31
Lake,main,scale_0.1,0,[],1.0,1.0,0.0,64876,0,36,63.0,63.35546875,91
Lake,main,scale_0.9,0,[],1.0,1.0,0.0,65526,0,35,63.5,63.990234375,99
Lake,main,scale_1.3,0,[],1.0,1.0,0.0,65507,0,36,63.0,63.9716796875,116
Lake,main,scale_1.7,0,[],1.0,1.0,0.0,64863,0,36,63.0,63.3427734375,92
Lake,main,scale_2.1,0,[],0.9992060340153568,0.9990234375,0.0009765625,65140,0,35,63.0,63.61328125,106
Lake,main,translation_20,0,[],1.0,1.0,0.0,65489,0,37,64.0,63.9541015625,95
Lake,main,translation_30,0,[],1.0,1.0,0.0,65164,0,35,64.0,63.63671875,92
Lake,main,translation_40,0,[],1.0,1.0,0.0,65191,0,35,64.0,63.6630859375,92
Lake,main,translation_50,0,[],1.0,1.0,0.0,64890,0,36,63.0,63.369140625,92
Lake,main,translation_60,0,[],1.0,1.0,0.0,64855,0,35,63.0,63.3349609375,92
Lake,repeat,vertex_delete_30pct,1,[1],0.9928631194931944,0.9912109375,0.0087890625,46876,0,23,45.0,45.77734375,72
Lake,repeat,vertex_delete_50pct,1,[1],0.9439538943408136,0.931640625,0.068359375,34287,0,17,33.0,33.4833984375,54
Lake,repeat,object_delete_30pct,1,[1],1.0,1.0,0.0,48047,0,25,47.0,46.9208984375,78
Lake,repeat,object_delete_90pct,1,[1],0.9442054364970007,0.9296875,0.0703125,6446,2,0,6.0,6.294921875,15
Lake,repeat,vertex_add_50pct,1,[1],0.9542324502572768,0.9443359375,0.0556640625,97961,0,66,95.0,95.6650390625,123
Lake,repeat,noise_50pct_1p4tau,1,[1],0.8696565534786727,0.841796875,0.158203125,65932,0,43,64.0,64.38671875,89
Lake,repeat,compound,1,"[1, 10001, 20001, 30001]",0.8662417141075308,0.837890625,0.162109375,33614,0,17,33.0,32.826171875,56
Lake,repeat,vertex_delete_30pct,2,[2],0.9920521281322651,0.990234375,0.009765625,46794,0,28,45.0,45.697265625,67
Lake,repeat,vertex_delete_50pct,2,[2],0.9350076238610471,0.9208984375,0.0791015625,34206,0,17,33.0,33.404296875,54
Lake,repeat,object_delete_30pct,2,[2],1.0,1.0,0.0,47907,0,24,46.0,46.7841796875,69
Lake,repeat,object_delete_90pct,2,[2],0.936305719340289,0.9208984375,0.0791015625,6349,2,0,6.0,6.2001953125,15
Lake,repeat,vertex_add_50pct,2,[2],0.9641012380595488,0.9560546875,0.0439453125,97799,0,66,95.0,95.5068359375,134
Lake,repeat,noise_50pct_1p4tau,2,[2],0.8705336068431421,0.84375,0.15625,65904,0,40,64.0,64.359375,92
Lake,repeat,compound,2,"[2, 10002, 20002, 30002]",0.8777205561801551,0.8505859375,0.1494140625,37104,0,20,36.0,36.234375,59
Lake,repeat,vertex_delete_30pct,3,[3],0.9936419552606822,0.9921875,0.0078125,46847,0,25,46.0,45.7490234375,68
Lake,repeat,vertex_delete_50pct,3,[3],0.94453367423513,0.931640625,0.068359375,34364,0,17,33.0,33.55859375,53
Lake,repeat,object_delete_30pct,3,[3],1.0,1.0,0.0,46688,0,23,45.0,45.59375,67
Lake,repeat,object_delete_90pct,3,[3],0.9126114095602711,0.890625,0.109375,6180,4,0,6.0,6.03515625,15
Lake,repeat,vertex_add_50pct,3,[3],0.9648308750820118,0.95703125,0.04296875,97976,0,68,96.0,95.6796875,129
Lake,repeat,noise_50pct_1p4tau,3,[3],0.8525319758309262,0.82421875,0.17578125,65929,0,39,64.0,64.3837890625,93
Lake,repeat,compound,3,"[3, 10003, 20003, 30003]",0.8662030294592951,0.8388671875,0.1611328125,37388,0,20,36.0,36.51171875,62
Lake,repeat,vertex_delete_30pct,4,[4],0.9880441496007628,0.9853515625,0.0146484375,46854,0,25,46.0,45.755859375,70
Lake,repeat,vertex_delete_50pct,4,[4],0.9379028454766098,0.923828125,0.076171875,34404,0,15,33.0,33.59765625,56
Lake,repeat,object_delete_30pct,4,[4],1.0,1.0,0.0,48925,0,26,47.0,47.7783203125,75
Lake,repeat,object_delete_90pct,4,[4],0.9212884029599914,0.90234375,0.09765625,6398,1,0,6.0,6.248046875,16
Lake,repeat,vertex_add_50pct,4,[4],0.9494665046424035,0.9384765625,0.0615234375,97932,0,70,95.5,95.63671875,130
Lake,repeat,noise_50pct_1p4tau,4,[4],0.8569685370686069,0.828125,0.171875,65919,0,42,64.0,64.3740234375,86
Lake,repeat,compound,4,"[4, 10004, 20004, 30004]",0.8701775650457754,0.84375,0.15625,31555,0,13,31.0,30.8154296875,56
Lake,repeat,vertex_delete_30pct,5,[5],0.9873229514236342,0.984375,0.015625,46864,0,25,46.0,45.765625,70
Lake,repeat,vertex_delete_50pct,5,[5],0.9319817012850187,0.9169921875,0.0830078125,34331,0,16,33.0,33.5263671875,53
Lake,repeat,object_delete_30pct,5,[5],0.998416467731765,0.998046875,0.001953125,42215,0,19,41.0,41.2255859375,67
Lake,repeat,object_delete_90pct,5,[5],0.9125607717114105,0.892578125,0.107421875,6210,3,0,6.0,6.064453125,15
Lake,repeat,vertex_add_50pct,5,[5],0.9527382211724738,0.9423828125,0.0576171875,97948,0,68,95.0,95.65234375,129
Lake,repeat,noise_50pct_1p4tau,5,[5],0.8638594966625998,0.8359375,0.1640625,65926,0,45,64.0,64.380859375,93
Lake,repeat,compound,5,"[5, 10005, 20005, 30005]",0.8765866677458659,0.84765625,0.15234375,36923,0,19,36.0,36.0576171875,59
Lake,repeat,vertex_delete_30pct,6,[6],0.9912770761713202,0.9892578125,0.0107421875,46823,0,22,45.5,45.7255859375,66
Lake,repeat,vertex_delete_50pct,6,[6],0.9295301506242306,0.9140625,0.0859375,34250,0,16,33.0,33.447265625,53
Lake,repeat,object_delete_30pct,6,[6],0.9992072927806908,0.9990234375,0.0009765625,41638,0,22,40.0,40.662109375,68
Lake,repeat,object_delete_90pct,6,[6],0.9185675143620098,0.8984375,0.1015625,5091,12,0,5.0,4.9716796875,15
Lake,repeat,vertex_add_50pct,6,[6],0.9504986374943039,0.939453125,0.060546875,97876,0,68,95.0,95.58203125,134
Lake,repeat,noise_50pct_1p4tau,6,[6],0.8593853268635021,0.830078125,0.169921875,65931,0,36,64.0,64.3857421875,90
Lake,repeat,compound,6,"[6, 10006, 20006, 30006]",0.8837624435305916,0.857421875,0.142578125,35899,0,18,35.0,35.0576171875,55
Lake,repeat,vertex_delete_30pct,7,[7],0.9896910328494462,0.9873046875,0.0126953125,46866,0,24,46.0,45.767578125,70
Lake,repeat,vertex_delete_50pct,7,[7],0.9379028454766098,0.923828125,0.076171875,34317,0,15,33.0,33.5126953125,55
Lake,repeat,object_delete_30pct,7,[7],1.0,1.0,0.0,42525,0,22,41.0,41.5283203125,73
Lake,repeat,object_delete_90pct,7,[7],0.9402934161477331,0.92578125,0.07421875,6236,1,0,6.0,6.08984375,16
Lake,repeat,vertex_add_50pct,7,[7],0.9567217095906959,0.947265625,0.052734375,97838,0,65,95.0,95.544921875,134
Lake,repeat,noise_50pct_1p4tau,7,[7],0.8667333977919454,0.8369140625,0.1630859375,65926,0,41,64.0,64.380859375,92
Lake,repeat,compound,7,"[7, 10007, 20007, 30007]",0.8535518024883268,0.822265625,0.177734375,31350,0,15,30.0,30.615234375,49
Lake,repeat,vertex_delete_30pct,8,[8],0.9864975311979914,0.9833984375,0.0166015625,46996,0,25,46.0,45.89453125,79
Lake,repeat,vertex_delete_50pct,8,[8],0.9282121996653252,0.9130859375,0.0869140625,34432,0,17,33.0,33.625,57
Lake,repeat,object_delete_30pct,8,[8],0.9992072927806908,0.9990234375,0.0009765625,49762,0,24,48.5,48.595703125,76
Lake,repeat,object_delete_90pct,8,[8],0.8777205561801551,0.8505859375,0.1494140625,11462,0,2,11.0,11.193359375,22
Lake,repeat,vertex_add_50pct,8,[8],0.9478599623333638,0.9365234375,0.0634765625,97930,0,66,95.0,95.634765625,131
Lake,repeat,noise_50pct_1p4tau,8,[8],0.880561083204862,0.8544921875,0.1455078125,65909,0,39,64.0,64.3642578125,90
Lake,repeat,compound,8,"[8, 10008, 20008, 30008]",0.8819917276627403,0.8564453125,0.1435546875,32525,0,16,32.0,31.7626953125,57
Lake,repeat,vertex_delete_30pct,9,[9],0.9840623009386205,0.98046875,0.01953125,46729,0,25,45.0,45.6337890625,66
Lake,repeat,vertex_delete_50pct,9,[9],0.9207878746497293,0.904296875,0.095703125,34142,0,16,33.0,33.341796875,54
Lake,repeat,object_delete_30pct,9,[9],1.0,1.0,0.0,48130,0,22,47.0,47.001953125,73
Lake,repeat,object_delete_90pct,9,[9],0.9187196254397743,0.8994140625,0.1005859375,6093,1,0,6.0,5.9501953125,14
Lake,repeat,vertex_add_50pct,9,[9],0.9551164718229262,0.9453125,0.0546875,97997,0,61,96.0,95.7001953125,129
Lake,repeat,noise_50pct_1p4tau,9,[9],0.8698288428365684,0.84375,0.15625,65932,0,36,64.0,64.38671875,95
