dataset,series,attack,seed,attack_seeds,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max
Road,main,no_attack,0,[],1.0,1.0,0.0,69321,0,36,68.0,67.6962890625,92
Road,main,vertex_delete_30pct,1,[1],0.9809837992475595,0.9765625,0.0234375,49051,0,30,48.0,47.9013671875,72
Road,main,vertex_delete_50pct,1,[1],0.9150331899271343,0.8935546875,0.1064453125,35521,0,14,35.0,34.6884765625,53
Road,main,object_delete_30pct,2025,[2025],0.9984114366459335,0.998046875,0.001953125,50129,0,27,49.0,48.9541015625,72
Road,main,object_delete_90pct,2025,[2025],0.8984126984126984,0.875,0.125,8045,0,1,8.0,7.8564453125,18
Road,main,vertex_add_10pct,233337,[233337],0.9968253968253968,0.99609375,0.00390625,76188,0,42,74.0,74.40234375,106
Road,main,vertex_add_30pct,233337,[233337],0.9817052621026122,0.9775390625,0.0224609375,89932,0,56,88.0,87.82421875,126
Road,main,vertex_add_50pct,233337,[233337],0.9196902205939566,0.90234375,0.09765625,103570,0,69,101.0,101.142578125,140
Road,main,noise_10pct_0p6tau,2024,[2024],0.9952468916437276,0.994140625,0.005859375,69325,0,42,68.0,67.7001953125,94
Road,main,noise_50pct_1p4tau,2024,[2024],0.8378930874105431,0.8056640625,0.1943359375,69351,0,43,67.0,67.7255859375,98
Road,main,crop_half_x,0,[],1.0,1.0,0.0,68429,0,36,67.0,66.8251953125,92
Road,main,translation_10,0,[],1.0,1.0,0.0,69322,0,36,67.0,67.697265625,92
Road,main,scale_0p5,0,[],0.9992060340153568,0.9990234375,0.0009765625,69321,0,36,67.0,67.6962890625,92
Road,main,rotation_45,0,[],1.0,1.0,0.0,69322,0,35,67.0,67.697265625,92
Road,main,rotation_90,0,[],0.9992060340153568,0.9990234375,0.0009765625,69321,0,36,67.0,67.6962890625,92
Road,main,rotation_135,0,[],1.0,1.0,0.0,69322,0,35,67.0,67.697265625,92
Road,main,rotation_180,0,[],0.9992060340153568,0.9990234375,0.0009765625,69321,0,36,67.0,67.6962890625,92
Road,main,rotation_225,0,[],0.9976174711631861,0.9970703125,0.0029296875,69322,0,35,67.0,67.697265625,92
Road,main,rotation_270,0,[],0.9992060340153568,0.9990234375,0.0009765625,69321,0,36,67.0,67.6962890625,92
Road,main,rotation_315,0,[],0.9984126984126984,0.998046875,0.001953125,69322,0,35,67.0,67.697265625,92
Road,main,reverse_vertices,0,[],0.9992060340153568,0.9990234375,0.0009765625,69320,0,36,68.0,67.6953125,92
Road,main,reverse_objects,0,[],1.0,1.0,0.0,69321,0,36,68.0,67.6962890625,92
Road,main,compound,1,"[1, 2025, 233337, 2024]",0.8438889518941194,0.810546875,0.189453125,39000,0,21,38.0,38.0859375,56
Road,main,addition_alpha0_pct10,233337,[233337],1.0,1.0,0.0,76186,0,42,74.0,74.400390625,105
Road,main,addition_alpha0_pct30,233337,[233337],1.0,1.0,0.0,89914,0,44,88.0,87.806640625,124
Road,main,addition_alpha0_pct50,233337,[233337],0.9976162063830435,0.9970703125,0.0029296875,103546,0,60,101.0,101.119140625,142
Road,main,addition_alpha0.5_pct10,233337,[233337],0.9984114366459335,0.998046875,0.001953125,76188,0,45,74.0,74.40234375,103
Road,main,addition_alpha0.5_pct30,233337,[233337],0.9769001833626443,0.9716796875,0.0283203125,89932,0,55,87.0,87.82421875,120
Road,main,addition_alpha0.5_pct50,233337,[233337],0.9115289060535717,0.892578125,0.107421875,103570,0,73,101.0,101.142578125,131
Road,main,addition_alpha1_pct10,233337,[233337],0.9968253968253968,0.99609375,0.00390625,76188,0,42,74.0,74.40234375,106
Road,main,addition_alpha1_pct30,233337,[233337],0.9817052621026122,0.9775390625,0.0224609375,89932,0,56,88.0,87.82421875,126
Road,main,addition_alpha1_pct50,233337,[233337],0.9196902205939566,0.90234375,0.09765625,103570,0,69,101.0,101.142578125,140
Road,main,noise_strength0.6_pct10,2024,[2024],0.9952468916437276,0.994140625,0.005859375,69325,0,42,68.0,67.7001953125,94
Road,main,noise_strength0.6_pct30,2024,[2024],0.9568306190697232,0.947265625,0.052734375,69343,0,41,67.0,67.7177734375,92
Road,main,noise_strength0.6_pct50,2024,[2024],0.8425770149516875,0.8115234375,0.1884765625,69351,0,45,68.0,67.7255859375,94
Road,main,noise_strength1_pct10,2024,[2024],0.9952380952380953,0.994140625,0.005859375,69325,0,43,68.0,67.7001953125,97
Road,main,noise_strength1_pct30,2024,[2024],0.9631855526295907,0.955078125,0.044921875,69343,0,40,68.0,67.7177734375,99
Road,main,noise_strength1_pct50,2024,[2024],0.8444240997285186,0.8154296875,0.1845703125,69351,0,43,68.0,67.7255859375,95
Road,main,noise_strength1.4_pct10,2024,[2024],0.9976174711631861,0.9970703125,0.0029296875,69325,0,40,68.0,67.7001953125,93
Road,main,noise_strength1.4_pct30,2024,[2024],0.9544005050959985,0.9443359375,0.0556640625,69343,0,42,68.0,67.7177734375,99
Road,main,noise_strength1.4_pct50,2024,[2024],0.8378930874105431,0.8056640625,0.1943359375,69351,0,43,67.0,67.7255859375,98
Road,main,vertex_delete_10pct,1,[1],0.9968253968253968,0.99609375,0.00390625,62527,0,35,61.0,61.0615234375,87
Road,main,vertex_delete_20pct,1,[1],0.9928631194931944,0.9912109375,0.0087890625,55849,0,31,54.0,54.5400390625,82
Road,main,vertex_delete_40pct,1,[1],0.958865560747283,0.94921875,0.05078125,42253,0,21,41.0,41.2626953125,62
Road,main,object_delete_10pct,2025,[2025],0.9992072927806908,0.9990234375,0.0009765625,62315,0,32,60.0,60.8544921875,84
Road,main,object_delete_50pct,2025,[2025],0.9920935752286245,0.990234375,0.009765625,36559,0,17,35.0,35.7021484375,56
