dataset,series,attack,seed,attack_seeds,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max
Railways,main,no_attack,0,[],1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141
Railways,main,vertex_delete_30pct,1,[1],1.0,1.0,0.0,40169,0,20,39.0,39.2275390625,99
Railways,main,vertex_delete_50pct,1,[1],0.9912770761713202,0.9892578125,0.0107421875,31904,0,14,31.0,31.15625,72
Railways,main,object_delete_30pct,2025,[2025],1.0,1.0,0.0,37901,0,18,37.0,37.0126953125,108
Railways,main,object_delete_90pct,2025,[2025],0.9589365199408304,0.94921875,0.05078125,6073,0,1,6.0,5.9306640625,20
Railways,main,vertex_add_10pct,233337,[233337],1.0,1.0,0.0,57168,0,33,55.0,55.828125,137
Railways,main,vertex_add_30pct,233337,[233337],0.9992060340153568,0.9990234375,0.0009765625,66593,0,37,65.0,65.0322265625,146
Railways,main,vertex_add_50pct,233337,[233337],0.9786250885135744,0.9736328125,0.0263671875,76027,0,50,74.0,74.2451171875,128
Railways,main,noise_10pct_0p6tau,2024,[2024],1.0,1.0,0.0,52474,0,29,51.0,51.244140625,117
Railways,main,noise_50pct_1p4tau,2024,[2024],0.902574336444171,0.880859375,0.119140625,52474,0,27,51.0,51.244140625,76
Railways,main,crop_half_x,0,[],1.0,1.0,0.0,49903,0,29,49.0,48.7333984375,138
Railways,main,translation_10,0,[],1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141
Railways,main,scale_0p5,0,[],1.0,1.0,0.0,52472,0,28,51.0,51.2421875,141
Railways,main,rotation_45,0,[],1.0,1.0,0.0,52473,0,28,51.0,51.2431640625,141
Railways,main,rotation_90,0,[],1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141
Railways,main,rotation_135,0,[],1.0,1.0,0.0,52473,0,28,51.0,51.2431640625,141
Railways,main,rotation_180,0,[],1.0,1.0,0.0,52473,0,28,51.0,51.2431640625,141
Railways,main,rotation_225,0,[],1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141
Railways,main,rotation_270,0,[],1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141
Railways,main,rotation_315,0,[],1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141
Railways,main,reverse_vertices,0,[],1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141
Railways,main,reverse_objects,0,[],1.0,1.0,0.0,52474,0,28,51.0,51.244140625,141
Railways,main,compound,1,"[1, 2025, 233337, 2024]",0.942397966301624,0.9287109375,0.0712890625,31553,0,10,31.0,30.8134765625,55
Railways,main,addition_alpha0_pct10,233337,[233337],1.0,1.0,0.0,57168,0,31,55.0,55.828125,155
Railways,main,addition_alpha0_pct30,233337,[233337],1.0,1.0,0.0,66593,0,34,65.0,65.0322265625,172
Railways,main,addition_alpha0_pct50,233337,[233337],1.0,1.0,0.0,76027,0,39,73.5,74.2451171875,202
Railways,main,addition_alpha0.5_pct10,233337,[233337],1.0,1.0,0.0,57168,0,33,56.0,55.828125,134
Railways,main,addition_alpha0.5_pct30,233337,[233337],1.0,1.0,0.0,66593,0,40,65.0,65.0322265625,129
Railways,main,addition_alpha0.5_pct50,233337,[233337],0.9888380783344104,0.986328125,0.013671875,76027,0,48,74.0,74.2451171875,136
Railways,main,addition_alpha1_pct10,233337,[233337],1.0,1.0,0.0,57168,0,33,55.0,55.828125,137
Railways,main,addition_alpha1_pct30,233337,[233337],0.9992060340153568,0.9990234375,0.0009765625,66593,0,37,65.0,65.0322265625,146
Railways,main,addition_alpha1_pct50,233337,[233337],0.9786250885135744,0.9736328125,0.0263671875,76027,0,50,74.0,74.2451171875,128
Railways,main,noise_strength0.6_pct10,2024,[2024],1.0,1.0,0.0,52474,0,29,51.0,51.244140625,117
Railways,main,noise_strength0.6_pct30,2024,[2024],0.9968316796877464,0.99609375,0.00390625,52474,0,25,51.0,51.244140625,76
Railways,main,noise_strength0.6_pct50,2024,[2024],0.9215169596705736,0.904296875,0.095703125,52474,0,31,51.0,51.244140625,74
Railways,main,noise_strength1_pct10,2024,[2024],1.0,1.0,0.0,52474,0,27,51.0,51.244140625,121
