dataset,attack,n,nc_mean,nc_std,accuracy_mean,erasures_mean
Boundary,compound,10,0.8389955606114148,0.00852915552869487,0.80712890625,0.0
Boundary,noise_50pct_1p4tau,10,0.8244343720808531,0.01529918755096969,0.7904296875,0.0
Boundary,object_delete_30pct,10,0.9970604288355706,0.001985587634219208,0.99638671875,0.0
Boundary,object_delete_90pct,10,0.8776989671479776,0.016635073535559677,0.84814453125,0.0
Boundary,vertex_add_50pct,10,0.9236330045328115,0.007845610234831027,0.90693359375,0.0
Boundary,vertex_delete_30pct,10,0.9760997464527559,0.003615410497622938,0.970703125,0.0
Boundary,vertex_delete_50pct,10,0.903438004822438,0.008019241869192145,0.88291015625,0.0
Building,compound,10,0.9100082864544106,0.00399134865557825,0.8892578125,0.0
Building,noise_50pct_1p4tau,10,0.8894599143930326,0.0086108708255692,0.8658203125,0.0
Building,object_delete_30pct,10,0.9869340979048223,0.0012057053677128505,0.983984375,0.0
Building,object_delete_90pct,10,0.9394082989288914,0.008153834261159272,0.9265625,38.8
Building,vertex_add_50pct,10,0.9505335801463926,0.005613771117982242,0.9396484375,0.0
Building,vertex_delete_30pct,10,0.9742033310031744,0.0013994370342123802,0.96845703125,0.0
Building,vertex_delete_50pct,10,0.9286174537087319,0.0029392063452897436,0.91240234375,0.0
Lake,compound,10,0.8727798305761441,0.010085503990027448,0.84541015625,0.0
Lake,noise_50pct_1p4tau,10,0.8650818386010369,0.008106716228738618,0.83720703125,0.0
Lake,object_delete_30pct,10,0.9995243751705845,0.0006684709302344251,0.9994140625,0.0
Lake,object_delete_90pct,10,0.9228535843829768,0.020479674968951228,0.904296875,2.7
Lake,vertex_add_50pct,10,0.9537076736832517,0.007112463914515199,0.9435546875,0.0
Lake,vertex_delete_30pct,10,0.989357854803308,0.003078629551364528,0.9869140625,0.0
Lake,vertex_delete_50pct,10,0.93465985402876,0.007280386215597918,0.9203125,0.0
Landuse,compound,10,0.9116533758883618,0.009216774015858378,0.8919921875,0.0
Landuse,noise_50pct_1p4tau,10,0.8951619178196631,0.006300003255225048,0.87265625,0.0
Landuse,object_delete_30pct,10,0.9992060340153568,0.0,0.9990234375,0.0
Landuse,object_delete_90pct,10,0.943194542575049,0.00788198497382538,0.93017578125,24.3
Landuse,vertex_add_50pct,10,0.9713723797411165,0.004283798276005225,0.96484375,0.0
Landuse,vertex_delete_30pct,10,0.994049718130551,0.0012541700033932,0.99267578125,0.0
Landuse,vertex_delete_50pct,10,0.9579176214721835,0.004841873662180981,0.9482421875,0.0
Railways,compound,10,0.9413755870343344,0.005623484995184799,0.92802734375,0.0
Railways,noise_50pct_1p4tau,10,0.9075790212141686,0.005820381082106888,0.887109375,0.0
Railways,object_delete_30pct,10,1.0,0.0,1.0,0.0
Railways,object_delete_90pct,10,0.9550092096449646,0.010521907604242738,0.9443359375,8.7
Railways,vertex_add_50pct,10,0.9869702570989874,0.0038475446172477772,0.983984375,0.0
Railways,vertex_delete_30pct,10,0.9998413326796047,0.00033450021337004245,0.9998046875,0.0
Railways,vertex_delete_50pct,10,0.9917438507459908,0.0022789766821168294,0.98984375,0.0
Road,compound,10,0.8502299638992298,0.011889632582476535,0.81875,0.0
Road,noise_50pct_1p4tau,10,0.8320343366938558,0.00951770777466424,0.79912109375,0.0
Road,object_delete_30pct,10,0.9972233206445427,0.0013603414119915298,0.99658203125,0.0
Road,object_delete_90pct,10,0.882150818338409,0.01490824734799745,0.85380859375,3.6
Road,vertex_add_50pct,10,0.933025907684037,0.0068455922275861844,0.9181640625,0.0
Road,vertex_delete_30pct,10,0.9800045900207934,0.0040557473650726095,0.975390625,0.0
Road,vertex_delete_50pct,10,0.9151365322805042,0.006511128191748338,0.895703125,0.0
