profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
baseline,Boundary,no_attack,0,independent,1.0,1.0,0
baseline,Boundary,compound_main,0,independent,0.801531910859373,0.765625,0
baseline,Boundary,compound,21,independent,0.8174486375572709,0.7802734375,0
baseline,Boundary,compound,22,independent,0.8362783211323328,0.8017578125,0
baseline,Boundary,compound,23,independent,0.8358073018237921,0.8037109375,0
baseline,Boundary,compound,24,independent,0.8255205349998122,0.791015625,0
baseline,Boundary,compound,25,independent,0.8390471418067159,0.806640625,0
baseline,Boundary,compound,26,independent,0.819588096795327,0.7861328125,0
baseline,Boundary,compound,27,independent,0.8155726394127811,0.78125,0
baseline,Boundary,compound,28,independent,0.8112247341230924,0.7744140625,0
baseline,Boundary,compound,29,independent,0.8309010530513109,0.796875,0
baseline,Boundary,compound,30,independent,0.8383759913513166,0.806640625,0
baseline,Boundary,compound_main,0,correlated,0.8177197535271967,0.7861328125,0
baseline,Boundary,compound,21,correlated,0.8200717219374186,0.7861328125,0
baseline,Boundary,compound,22,correlated,0.8292718353002299,0.794921875,0
baseline,Boundary,compound,23,correlated,0.836515313218709,0.8046875,0
baseline,Boundary,compound,24,correlated,0.8355612640754253,0.8017578125,0
baseline,Boundary,compound,25,correlated,0.8143425751884571,0.77734375,0
baseline,Boundary,compound,26,correlated,0.8421761361729377,0.8134765625,0
baseline,Boundary,compound,27,correlated,0.8200717219374186,0.7861328125,0
baseline,Boundary,compound,28,correlated,0.8271552291285246,0.79296875,0
baseline,Boundary,compound,29,correlated,0.8334636320269925,0.80078125,0
baseline,Boundary,compound,30,correlated,0.8276124568770067,0.794921875,0
baseline,Boundary,vertex_delete_50pct,21,independent,0.8725314779473631,0.8466796875,0
baseline,Boundary,object_delete_90pct,21,independent,0.8694311606625279,0.83984375,0
baseline,Boundary,vertex_delete_50pct,22,independent,0.898503975340586,0.876953125,0
baseline,Boundary,object_delete_90pct,22,independent,0.8492631589116814,0.8134765625,0
baseline,Boundary,vertex_delete_50pct,23,independent,0.8807597316624056,0.85546875,0
baseline,Boundary,object_delete_90pct,23,independent,0.8580640484683595,0.826171875,0
baseline,Boundary,vertex_delete_50pct,24,independent,0.8862944565880649,0.86328125,0
baseline,Boundary,object_delete_90pct,24,independent,0.860348621380955,0.8291015625,0
baseline,Boundary,vertex_delete_50pct,25,independent,0.8698138600422539,0.8427734375,0
baseline,Boundary,object_delete_90pct,25,independent,0.8795029506139261,0.8525390625,0
baseline,Boundary,vertex_delete_50pct,26,independent,0.8716991027491591,0.8466796875,0
baseline,Boundary,object_delete_90pct,26,independent,0.9002555803603297,0.87890625,0
baseline,Boundary,vertex_delete_50pct,27,independent,0.8845506502037158,0.8603515625,0
baseline,Boundary,object_delete_90pct,27,independent,0.8733137038869969,0.8447265625,0
baseline,Boundary,vertex_delete_50pct,28,independent,0.8963419985859071,0.873046875,0
baseline,Boundary,object_delete_90pct,28,independent,0.8894217852761106,0.8642578125,0
baseline,Boundary,vertex_delete_50pct,29,independent,0.8769927240981717,0.8505859375,0
baseline,Boundary,object_delete_90pct,29,independent,0.8703679291014905,0.8427734375,0
baseline,Boundary,vertex_delete_50pct,30,independent,0.8843917459647498,0.8603515625,0
baseline,Boundary,object_delete_90pct,30,independent,0.8971803200899087,0.875,0
