profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
baseline,Building,no_attack,0,independent,0.9864479554980152,0.9833984375,0
baseline,Building,compound_main,0,independent,0.8986572798468974,0.8759765625,0
baseline,Building,compound,21,independent,0.8844860100410628,0.859375,0
baseline,Building,compound,22,independent,0.8996860911617734,0.876953125,0
baseline,Building,compound,23,independent,0.8773598682102257,0.8515625,0
baseline,Building,compound,24,independent,0.8843117285624205,0.857421875,0
baseline,Building,compound,25,independent,0.8848283149591253,0.859375,0
baseline,Building,compound,26,independent,0.8902859804490504,0.8671875,0
baseline,Building,compound,27,independent,0.897477386809602,0.875,0
baseline,Building,compound,28,independent,0.8835982699717798,0.8583984375,0
baseline,Building,compound,29,independent,0.8903031919135712,0.865234375,0
baseline,Building,compound,30,independent,0.8970610857441498,0.8740234375,0
baseline,Building,compound_main,0,correlated,0.9172021035560735,0.8984375,0
baseline,Building,compound,21,correlated,0.8941648604390608,0.869140625,0
baseline,Building,compound,22,correlated,0.906803233024772,0.884765625,0
baseline,Building,compound,23,correlated,0.8975380114764334,0.8740234375,0
baseline,Building,compound,24,correlated,0.8960286733763294,0.873046875,0
baseline,Building,compound,25,correlated,0.8969900329145698,0.873046875,0
baseline,Building,compound,26,correlated,0.8969057049491203,0.8740234375,0
baseline,Building,compound,27,correlated,0.9033291850906445,0.880859375,0
baseline,Building,compound,28,correlated,0.8950726732988225,0.87109375,0
baseline,Building,compound,29,correlated,0.8864180715112386,0.8603515625,0
baseline,Building,compound,30,correlated,0.9034091629422369,0.87890625,0
baseline,Building,vertex_delete_50pct,21,independent,0.9211228482603726,0.9033203125,0
baseline,Building,object_delete_90pct,21,independent,0.9274974008434894,0.9111328125,28
baseline,Building,vertex_delete_50pct,22,independent,0.9149855276286857,0.896484375,0
baseline,Building,object_delete_90pct,22,independent,0.9170001668014769,0.8994140625,38
baseline,Building,vertex_delete_50pct,23,independent,0.9207722993795288,0.9033203125,0
baseline,Building,object_delete_90pct,23,independent,0.9178613320804191,0.900390625,48
baseline,Building,vertex_delete_50pct,24,independent,0.9235570803243593,0.9072265625,0
baseline,Building,object_delete_90pct,24,independent,0.9175696131208173,0.8994140625,34
baseline,Building,vertex_delete_50pct,25,independent,0.9151469967213628,0.8955078125,0
baseline,Building,object_delete_90pct,25,independent,0.926250766701585,0.9111328125,35
baseline,Building,vertex_delete_50pct,26,independent,0.9229550171111642,0.9052734375,0
baseline,Building,object_delete_90pct,26,independent,0.9243137843270302,0.908203125,42
baseline,Building,vertex_delete_50pct,27,independent,0.9228347682650163,0.9052734375,0
baseline,Building,object_delete_90pct,27,independent,0.9152292878058221,0.896484375,47
baseline,Building,vertex_delete_50pct,28,independent,0.9179355719688143,0.8994140625,0
baseline,Building,object_delete_90pct,28,independent,0.9084352703419326,0.888671875,44
baseline,Building,vertex_delete_50pct,29,independent,0.9158209701460645,0.8984375,0
baseline,Building,object_delete_90pct,29,independent,0.926645375762299,0.91015625,53
baseline,Building,vertex_delete_50pct,30,independent,0.919914321479842,0.90234375,0
baseline,Building,object_delete_90pct,30,independent,0.9339724292613183,0.9189453125,26
