profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
baseline,Landuse,no_attack,0,independent,0.9992060340153568,0.9990234375,0
baseline,Landuse,compound_main,0,independent,0.8937081801542928,0.8701171875,0
baseline,Landuse,compound,21,independent,0.8778861196578677,0.8515625,0
baseline,Landuse,compound,22,independent,0.8830969916204363,0.8583984375,0
baseline,Landuse,compound,23,independent,0.8697267441930863,0.8408203125,0
baseline,Landuse,compound,24,independent,0.8883674256447514,0.86328125,0
baseline,Landuse,compound,25,independent,0.886428366161583,0.861328125,0
baseline,Landuse,compound,26,independent,0.8714336251447534,0.8447265625,0
baseline,Landuse,compound,27,independent,0.8971803200899087,0.875,0
baseline,Landuse,compound,28,independent,0.8864180715112386,0.8603515625,0
baseline,Landuse,compound,29,independent,0.8873015873015873,0.861328125,0
baseline,Landuse,compound,30,independent,0.8720279053394634,0.84375,0
baseline,Landuse,compound_main,0,correlated,0.8987881701259121,0.876953125,0
baseline,Landuse,compound,21,correlated,0.88659956942746,0.861328125,0
baseline,Landuse,compound,22,correlated,0.8744049206294003,0.845703125,0
baseline,Landuse,compound,23,correlated,0.8784281101492943,0.8515625,0
baseline,Landuse,compound,24,correlated,0.8911691761873507,0.8681640625,0
baseline,Landuse,compound,25,correlated,0.8845506502037158,0.8603515625,0
baseline,Landuse,compound,26,correlated,0.8891410699098916,0.865234375,0
baseline,Landuse,compound,27,correlated,0.9064982793336028,0.8857421875,0
baseline,Landuse,compound,28,correlated,0.8905106553594652,0.8662109375,0
baseline,Landuse,compound,29,correlated,0.8983534955685488,0.8759765625,0
baseline,Landuse,compound,30,correlated,0.8969057049491203,0.8740234375,0
baseline,Landuse,vertex_delete_50pct,21,independent,0.9483720227458952,0.9365234375,0
baseline,Landuse,object_delete_90pct,21,independent,0.9308590340459163,0.9140625,14
baseline,Landuse,vertex_delete_50pct,22,independent,0.9408301070451459,0.927734375,0
baseline,Landuse,object_delete_90pct,22,independent,0.9249084106299355,0.9072265625,18
baseline,Landuse,vertex_delete_50pct,23,independent,0.9383870738024415,0.9248046875,0
baseline,Landuse,object_delete_90pct,23,independent,0.9195766618398638,0.900390625,26
baseline,Landuse,vertex_delete_50pct,24,independent,0.9342860877394965,0.9189453125,0
baseline,Landuse,object_delete_90pct,24,independent,0.910826845152491,0.8896484375,17
baseline,Landuse,vertex_delete_50pct,25,independent,0.9319817012850187,0.9169921875,0
baseline,Landuse,object_delete_90pct,25,independent,0.9198522549271302,0.900390625,13
baseline,Landuse,vertex_delete_50pct,26,independent,0.9328298510328572,0.91796875,0
baseline,Landuse,object_delete_90pct,26,independent,0.9373516032276004,0.9228515625,13
baseline,Landuse,vertex_delete_50pct,27,independent,0.9374588563774604,0.923828125,0
baseline,Landuse,object_delete_90pct,27,independent,0.9251611716246413,0.9072265625,18
baseline,Landuse,vertex_delete_50pct,28,independent,0.9373516032276004,0.9228515625,0
baseline,Landuse,object_delete_90pct,28,independent,0.9342427279176755,0.91796875,17
baseline,Landuse,vertex_delete_50pct,29,independent,0.9288809528973955,0.9130859375,0
baseline,Landuse,object_delete_90pct,29,independent,0.9347320962825743,0.9189453125,12
baseline,Landuse,vertex_delete_50pct,30,independent,0.9422037664491533,0.9287109375,0
baseline,Landuse,object_delete_90pct,30,independent,0.9437873021910846,0.9306640625,6
