profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
baseline,Railways,no_attack,0,independent,1.0,1.0,0
baseline,Railways,compound_main,0,independent,0.9360837420717975,0.9208984375,0
baseline,Railways,compound,21,independent,0.9325530208819839,0.91796875,0
baseline,Railways,compound,22,independent,0.9382958374969287,0.923828125,0
baseline,Railways,compound,23,independent,0.9303844054775617,0.9140625,0
baseline,Railways,compound,24,independent,0.9187944683191916,0.900390625,0
baseline,Railways,compound,25,independent,0.926645375762299,0.91015625,0
baseline,Railways,compound,26,independent,0.9285814546248886,0.9130859375,0
baseline,Railways,compound,27,independent,0.9244127068458483,0.908203125,0
baseline,Railways,compound,28,independent,0.9256375462659415,0.908203125,0
baseline,Railways,compound,29,independent,0.9342860877394965,0.9189453125,0
baseline,Railways,compound,30,independent,0.9336772400896367,0.9189453125,0
baseline,Railways,compound_main,0,correlated,0.9289849677991017,0.9130859375,0
baseline,Railways,compound,21,correlated,0.9402465060097229,0.9267578125,0
baseline,Railways,compound,22,correlated,0.9297314403725796,0.9140625,0
baseline,Railways,compound,23,correlated,0.9254713023847093,0.9091796875,0
baseline,Railways,compound,24,correlated,0.9148666704859463,0.896484375,0
baseline,Railways,compound,25,correlated,0.9279275124334991,0.912109375,0
baseline,Railways,compound,26,correlated,0.9205487430796906,0.9033203125,0
baseline,Railways,compound,27,correlated,0.9366988571796712,0.9228515625,0
baseline,Railways,compound,28,correlated,0.9224729734581947,0.904296875,0
baseline,Railways,compound,29,correlated,0.9229550171111642,0.9052734375,0
baseline,Railways,compound,30,correlated,0.9390366949652905,0.9248046875,0
baseline,Railways,vertex_delete_50pct,21,independent,0.9952380952380953,0.994140625,0
baseline,Railways,object_delete_90pct,21,independent,0.9426002115711481,0.9287109375,5
baseline,Railways,vertex_delete_50pct,22,independent,0.9904761904761905,0.98828125,0
baseline,Railways,object_delete_90pct,22,independent,0.9417614785813245,0.927734375,5
baseline,Railways,vertex_delete_50pct,23,independent,0.9912632197545035,0.9892578125,0
baseline,Railways,object_delete_90pct,23,independent,0.9263684090298397,0.9091796875,11
baseline,Railways,vertex_delete_50pct,24,independent,0.9850189798529538,0.9814453125,0
baseline,Railways,object_delete_90pct,24,independent,0.9423979663016241,0.9287109375,10
baseline,Railways,vertex_delete_50pct,25,independent,0.9873467160170043,0.984375,0
baseline,Railways,object_delete_90pct,25,independent,0.9244381069017349,0.90625,13
baseline,Railways,vertex_delete_50pct,26,independent,0.9873015873015873,0.984375,0
baseline,Railways,object_delete_90pct,26,independent,0.9411776600229181,0.927734375,8
baseline,Railways,vertex_delete_50pct,27,independent,0.9944302029662154,0.9931640625,0
baseline,Railways,object_delete_90pct,27,independent,0.936305719340289,0.9208984375,6
baseline,Railways,vertex_delete_50pct,28,independent,0.9896746569023328,0.9873046875,0
baseline,Railways,object_delete_90pct,28,independent,0.9530655623978358,0.9423828125,7
baseline,Railways,vertex_delete_50pct,29,independent,0.9866284385639276,0.9833984375,0
baseline,Railways,object_delete_90pct,29,independent,0.9584977068656405,0.9482421875,2
baseline,Railways,vertex_delete_50pct,30,independent,0.9912429266746571,0.9892578125,0
baseline,Railways,object_delete_90pct,30,independent,0.9498218723915502,0.9375,2
