profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
full40,Boundary,no_attack,0,independent,1.0,1.0,0
full40,Boundary,compound_main,0,independent,0.8254984727524904,0.79296875,0
full40,Boundary,compound,21,independent,0.8470748343099173,0.8173828125,0
full40,Boundary,compound,22,independent,0.8401972955236047,0.806640625,0
full40,Boundary,compound,23,independent,0.8306620656731958,0.796875,0
full40,Boundary,compound,24,independent,0.8479024757516895,0.8173828125,0
full40,Boundary,compound,25,independent,0.8634154693338368,0.833984375,0
full40,Boundary,compound,26,independent,0.8632206622970621,0.837890625,0
full40,Boundary,compound,27,independent,0.8374461396705054,0.8056640625,0
full40,Boundary,compound,28,independent,0.836032727456917,0.8037109375,0
full40,Boundary,compound,29,independent,0.84596494261263,0.8134765625,0
full40,Boundary,compound,30,independent,0.8471371486072603,0.8154296875,0
full40,Boundary,compound_main,0,correlated,0.8184216782313071,0.7841796875,0
full40,Boundary,compound,21,correlated,0.8390471418067159,0.806640625,0
full40,Boundary,compound,22,correlated,0.8427501480599423,0.810546875,0
full40,Boundary,compound,23,correlated,0.8429694490364712,0.8134765625,0
full40,Boundary,compound,24,correlated,0.8505568424442119,0.8212890625,0
full40,Boundary,compound,25,correlated,0.8257627468463542,0.7880859375,0
full40,Boundary,compound,26,correlated,0.8684158669572601,0.8427734375,0
full40,Boundary,compound,27,correlated,0.836032727456917,0.8037109375,0
full40,Boundary,compound,28,correlated,0.8346311678281509,0.80078125,0
full40,Boundary,compound,29,correlated,0.8459603036145918,0.8125,0
full40,Boundary,compound,30,correlated,0.8452278405761726,0.8154296875,0
full40,Boundary,vertex_delete_50pct,21,independent,0.8855990708473639,0.861328125,0
full40,Boundary,object_delete_90pct,21,independent,0.8883674256447514,0.86328125,0
full40,Boundary,vertex_delete_50pct,22,independent,0.9098306385661306,0.8896484375,0
full40,Boundary,object_delete_90pct,22,independent,0.8578239401721665,0.8251953125,0
full40,Boundary,vertex_delete_50pct,23,independent,0.8923469810514251,0.8701171875,0
full40,Boundary,object_delete_90pct,23,independent,0.8841508293699839,0.859375,0
full40,Boundary,vertex_delete_50pct,24,independent,0.913771292974711,0.8955078125,0
full40,Boundary,object_delete_90pct,24,independent,0.8734220949381192,0.84375,0
full40,Boundary,vertex_delete_50pct,25,independent,0.8982523275556566,0.875,0
full40,Boundary,object_delete_90pct,25,independent,0.9011928103573731,0.8779296875,0
full40,Boundary,vertex_delete_50pct,26,independent,0.8987059573939777,0.8779296875,0
full40,Boundary,object_delete_90pct,26,independent,0.9106962298799874,0.890625,0
full40,Boundary,vertex_delete_50pct,27,independent,0.894360885772092,0.8701171875,0
full40,Boundary,object_delete_90pct,27,independent,0.8834919556590687,0.85546875,0
full40,Boundary,vertex_delete_50pct,28,independent,0.8970346301622605,0.875,0
full40,Boundary,object_delete_90pct,28,independent,0.9072290317935335,0.88671875,0
full40,Boundary,vertex_delete_50pct,29,independent,0.8936507936507937,0.869140625,0
full40,Boundary,object_delete_90pct,29,independent,0.8864180715112386,0.8603515625,0
full40,Boundary,vertex_delete_50pct,30,independent,0.9007215944487563,0.8798828125,0
full40,Boundary,object_delete_90pct,30,independent,0.9172217481393723,0.8994140625,0
