profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
full40,Lake,no_attack,0,independent,1.0,1.0,0
full40,Lake,compound_main,0,independent,0.8806707641222452,0.8564453125,0
full40,Lake,compound,21,independent,0.870745931499463,0.8427734375,0
full40,Lake,compound,22,independent,0.8736022729407494,0.84765625,0
full40,Lake,compound,23,independent,0.8657285973666355,0.8369140625,0
full40,Lake,compound,24,independent,0.880561083204862,0.8544921875,0
full40,Lake,compound,25,independent,0.8766430903300934,0.849609375,0
full40,Lake,compound,26,independent,0.8712670285777072,0.84375,0
full40,Lake,compound,27,independent,0.876387788342327,0.84765625,0
full40,Lake,compound,28,independent,0.8712670285777072,0.84375,0
full40,Lake,compound,29,independent,0.871835175757899,0.84375,0
full40,Lake,compound,30,independent,0.88553371052832,0.859375,0
full40,Lake,compound_main,0,correlated,0.8963419985859071,0.873046875,0
full40,Lake,compound,21,correlated,0.876310562408431,0.8486328125,0
full40,Lake,compound,22,correlated,0.8727625066215854,0.84765625,0
full40,Lake,compound,23,correlated,0.8759947477578174,0.84765625,0
full40,Lake,compound,24,correlated,0.8698288428365684,0.84375,0
full40,Lake,compound,25,correlated,0.8816504763305839,0.8564453125,0
full40,Lake,compound,26,correlated,0.870745931499463,0.8427734375,0
full40,Lake,compound,27,correlated,0.8825168433723964,0.8564453125,0
full40,Lake,compound,28,correlated,0.8758006197150007,0.84765625,0
full40,Lake,compound,29,correlated,0.8809898376562251,0.8564453125,0
full40,Lake,compound,30,correlated,0.8773929844781189,0.849609375,0
full40,Lake,vertex_delete_50pct,21,independent,0.9328298510328572,0.91796875,0
full40,Lake,object_delete_90pct,21,independent,0.9160478867869573,0.89453125,4
full40,Lake,vertex_delete_50pct,22,independent,0.9420177713372124,0.9287109375,0
full40,Lake,object_delete_90pct,22,independent,0.908845475808344,0.88671875,3
full40,Lake,vertex_delete_50pct,23,independent,0.9346199487034548,0.919921875,0
full40,Lake,object_delete_90pct,23,independent,0.9135626668592524,0.892578125,8
full40,Lake,vertex_delete_50pct,24,independent,0.9402465060097229,0.9267578125,0
full40,Lake,object_delete_90pct,24,independent,0.9249084106299355,0.9072265625,1
full40,Lake,vertex_delete_50pct,25,independent,0.9347181159503735,0.919921875,0
full40,Lake,object_delete_90pct,25,independent,0.9293587803636657,0.9111328125,8
full40,Lake,vertex_delete_50pct,26,independent,0.9230117164675338,0.90625,0
full40,Lake,object_delete_90pct,26,independent,0.9286917225277564,0.9111328125,1
full40,Lake,vertex_delete_50pct,27,independent,0.9312297998303994,0.916015625,0
full40,Lake,object_delete_90pct,27,independent,0.9245445183554751,0.9052734375,10
full40,Lake,vertex_delete_50pct,28,independent,0.9335830444143743,0.9189453125,0
full40,Lake,object_delete_90pct,28,independent,0.9264894506481063,0.9091796875,4
full40,Lake,vertex_delete_50pct,29,independent,0.9171099104791631,0.8994140625,0
full40,Lake,object_delete_90pct,29,independent,0.9371486221137941,0.921875,3
full40,Lake,vertex_delete_50pct,30,independent,0.9395318606368536,0.9267578125,0
full40,Lake,object_delete_90pct,30,independent,0.9145615414388276,0.89453125,1
