profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
full40,Railways,no_attack,0,independent,1.0,1.0,0
full40,Railways,compound_main,0,independent,0.9423979663016241,0.9287109375,0
full40,Railways,compound,21,independent,0.9436061934342022,0.931640625,0
full40,Railways,compound,22,independent,0.9475369685365865,0.935546875,0
full40,Railways,compound,23,independent,0.9457474576865776,0.9326171875,0
full40,Railways,compound,24,independent,0.9268692158671643,0.91015625,0
full40,Railways,compound,25,independent,0.9458646692922007,0.93359375,0
full40,Railways,compound,26,independent,0.9439538943408136,0.931640625,0
full40,Railways,compound,27,independent,0.9326431430741515,0.91796875,0
full40,Railways,compound,28,independent,0.9345051860143408,0.9189453125,0
full40,Railways,compound,29,independent,0.9447183507819052,0.931640625,0
full40,Railways,compound,30,independent,0.9467011846856633,0.9345703125,0
full40,Railways,compound_main,0,correlated,0.9423512561500821,0.9296875,0
full40,Railways,compound,21,correlated,0.9522341283446735,0.94140625,0
full40,Railways,compound,22,correlated,0.9419279014015339,0.9287109375,0
full40,Railways,compound,23,correlated,0.9409996070563793,0.927734375,0
full40,Railways,compound,24,correlated,0.9343380651964249,0.919921875,0
full40,Railways,compound,25,correlated,0.9393163005826062,0.92578125,0
full40,Railways,compound,26,correlated,0.9312297998303994,0.916015625,0
full40,Railways,compound,27,correlated,0.9444455943289858,0.9326171875,0
full40,Railways,compound,28,correlated,0.9381945220590554,0.923828125,0
full40,Railways,compound,29,correlated,0.9382958374969287,0.923828125,0
full40,Railways,compound,30,correlated,0.9477032503231674,0.935546875,0
full40,Railways,vertex_delete_50pct,21,independent,0.9960289083110154,0.9951171875,0
full40,Railways,object_delete_90pct,21,independent,0.9612723310478646,0.9521484375,5
full40,Railways,vertex_delete_50pct,22,independent,0.9976212494588167,0.9970703125,0
full40,Railways,object_delete_90pct,22,independent,0.9572119785872795,0.947265625,5
full40,Railways,vertex_delete_50pct,23,independent,0.9920521281322651,0.990234375,0
full40,Railways,object_delete_90pct,23,independent,0.9531377113024072,0.9423828125,11
full40,Railways,vertex_delete_50pct,24,independent,0.9920634920634921,0.990234375,0
full40,Railways,object_delete_90pct,24,independent,0.9541971302211886,0.943359375,10
full40,Railways,vertex_delete_50pct,25,independent,0.988907739467653,0.986328125,0
full40,Railways,object_delete_90pct,25,independent,0.9501159880353508,0.9375,13
full40,Railways,vertex_delete_50pct,26,independent,0.9936507936507937,0.9921875,0
full40,Railways,object_delete_90pct,26,independent,0.9612061953523294,0.9521484375,8
full40,Railways,vertex_delete_50pct,27,independent,0.9904355550360814,0.98828125,0
full40,Railways,object_delete_90pct,27,independent,0.9587967666312981,0.94921875,6
full40,Railways,vertex_delete_50pct,28,independent,0.9936758616324979,0.9921875,0
full40,Railways,object_delete_90pct,28,independent,0.9620301335550298,0.953125,7
full40,Railways,vertex_delete_50pct,29,independent,0.9913332040827805,0.9892578125,0
full40,Railways,object_delete_90pct,29,independent,0.9701088140570165,0.962890625,2
full40,Railways,vertex_delete_50pct,30,independent,0.991251828670871,0.9892578125,0
full40,Railways,object_delete_90pct,30,independent,0.9651947063627766,0.95703125,2
