profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
full40,Road,no_attack,0,independent,1.0,1.0,0
full40,Road,compound_main,0,independent,0.8438889518941194,0.810546875,0
full40,Road,compound,21,independent,0.860348621380955,0.8291015625,0
full40,Road,compound,22,independent,0.8469184074706252,0.8154296875,0
full40,Road,compound,23,independent,0.8475655413823614,0.814453125,0
full40,Road,compound,24,independent,0.8404537599640389,0.80859375,0
full40,Road,compound,25,independent,0.8619113282606592,0.8330078125,0
full40,Road,compound,26,independent,0.8655106629187521,0.833984375,0
full40,Road,compound,27,independent,0.8550306527529109,0.8251953125,0
full40,Road,compound,28,independent,0.860616708422779,0.830078125,0
full40,Road,compound,29,independent,0.841825833508283,0.8095703125,0
full40,Road,compound,30,independent,0.8663266329814349,0.8369140625,0
full40,Road,compound_main,0,correlated,0.8637518750123218,0.8330078125,0
full40,Road,compound,21,correlated,0.8487569137097599,0.8173828125,0
full40,Road,compound,22,correlated,0.8367385382432085,0.8046875,0
full40,Road,compound,23,correlated,0.8436705460214161,0.8095703125,0
full40,Road,compound,24,correlated,0.8307532267511701,0.794921875,0
full40,Road,compound,25,correlated,0.8469815561579344,0.81640625,0
full40,Road,compound,26,correlated,0.8664356032806035,0.837890625,0
full40,Road,compound,27,correlated,0.8652942720341963,0.833984375,0
full40,Road,compound,28,correlated,0.8713255065905,0.8427734375,0
full40,Road,compound,29,correlated,0.8580640484683595,0.826171875,0
full40,Road,compound,30,correlated,0.8588022057567488,0.828125,0
full40,Road,vertex_delete_50pct,21,independent,0.9185491034608819,0.900390625,0
full40,Road,object_delete_90pct,21,independent,0.8874839211276642,0.8623046875,1
full40,Road,vertex_delete_50pct,22,independent,0.9153541500575397,0.896484375,0
full40,Road,object_delete_90pct,22,independent,0.8805423295028938,0.8515625,0
full40,Road,vertex_delete_50pct,23,independent,0.9067801049483599,0.8857421875,0
full40,Road,object_delete_90pct,23,independent,0.8885936855762272,0.861328125,9
full40,Road,vertex_delete_50pct,24,independent,0.9253968253968254,0.908203125,0
full40,Road,object_delete_90pct,24,independent,0.8908555658417872,0.8642578125,0
full40,Road,vertex_delete_50pct,25,independent,0.9079381701891237,0.888671875,0
full40,Road,object_delete_90pct,25,independent,0.8841829936651171,0.8564453125,2
full40,Road,vertex_delete_50pct,26,independent,0.9047619047619048,0.8828125,0
full40,Road,object_delete_90pct,26,independent,0.90245865014637,0.8798828125,0
full40,Road,vertex_delete_50pct,27,independent,0.904028929388618,0.8828125,0
full40,Road,object_delete_90pct,27,independent,0.8752981315460439,0.8466796875,2
full40,Road,vertex_delete_50pct,28,independent,0.9141225738435322,0.8955078125,0
full40,Road,object_delete_90pct,28,independent,0.9101127510833643,0.888671875,1
full40,Road,vertex_delete_50pct,29,independent,0.9117750520931464,0.892578125,0
full40,Road,object_delete_90pct,29,independent,0.9049961303789584,0.8818359375,0
full40,Road,vertex_delete_50pct,30,independent,0.9148792961248007,0.8955078125,0
full40,Road,object_delete_90pct,30,independent,0.9142857142857143,0.89453125,2
