profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
p20,Landuse,no_attack,0,independent,0.9992060340153568,0.9990234375,0
p20,Landuse,compound_main,0,independent,0.8982043835969449,0.8759765625,0
p20,Landuse,compound,11,independent,0.9075667823694842,0.8876953125,0
p20,Landuse,compound,12,independent,0.9022091620922448,0.8818359375,0
p20,Landuse,compound,13,independent,0.886811354589859,0.8623046875,0
p20,Landuse,compound_main,0,correlated,0.904028929388618,0.8828125,0
p20,Landuse,compound,11,correlated,0.9091013152917563,0.888671875,0
p20,Landuse,compound,12,correlated,0.9068274203059292,0.88671875,0
p20,Landuse,compound,13,correlated,0.8949965107983844,0.8720703125,0
p20,Landuse,vertex_delete_50pct,11,independent,0.9393163005826062,0.92578125,0
p20,Landuse,object_delete_90pct,11,independent,0.927122986509973,0.9091796875,23
p20,Landuse,vertex_delete_50pct,12,independent,0.9517049809007414,0.9404296875,0
p20,Landuse,object_delete_90pct,12,independent,0.9343946507389604,0.9189453125,26
p20,Landuse,vertex_delete_50pct,13,independent,0.9560599136534295,0.9462890625,0
p20,Landuse,object_delete_90pct,13,independent,0.9358102492732421,0.919921875,14
