profile,dataset,attack,seed,noise_mode,nc,accuracy,empty_bins
long,Lake,no_attack,0,independent,1.0,1.0,0
long,Lake,compound_main,0,independent,0.8726941663541419,0.845703125,0
long,Lake,compound,11,independent,0.891322066626327,0.869140625,0
long,Lake,compound,12,independent,0.8719797215627896,0.8447265625,0
long,Lake,compound,13,independent,0.8671443441788924,0.8388671875,0
long,Lake,compound_main,0,correlated,0.8945869529358155,0.87109375,0
long,Lake,compound,11,correlated,0.8842347357691394,0.8603515625,0
long,Lake,compound,12,correlated,0.8837624435305916,0.857421875,0
long,Lake,compound,13,correlated,0.8788064641937507,0.853515625,0
long,Lake,vertex_delete_50pct,11,independent,0.9334010815520074,0.9189453125,0
long,Lake,object_delete_90pct,11,independent,0.921021402183697,0.90234375,5
long,Lake,vertex_delete_50pct,12,independent,0.9294326675386124,0.9140625,0
long,Lake,object_delete_90pct,12,independent,0.9180777542598246,0.896484375,1
long,Lake,vertex_delete_50pct,13,independent,0.9349225187175004,0.9208984375,0
long,Lake,object_delete_90pct,13,independent,0.8805777140043552,0.853515625,0
p20,Road,no_attack,0,independent,1.0,1.0,0
p20,Road,compound_main,0,independent,0.8536162090172585,0.8232421875,0
p20,Road,compound,11,independent,0.8389250734095857,0.802734375,0
p20,Road,compound,12,independent,0.8443550658468222,0.810546875,0
p20,Road,compound,13,independent,0.8283354955420351,0.7939453125,0
p20,Road,compound_main,0,correlated,0.8564691338801284,0.82421875,0
p20,Road,compound,11,correlated,0.8238504827405885,0.7900390625,0
p20,Road,compound,12,correlated,0.8282061365654183,0.7919921875,0
p20,Road,compound,13,correlated,0.8288869473146331,0.79296875,0
p20,Road,vertex_delete_50pct,11,independent,0.8967521524391932,0.8740234375,0
p20,Road,object_delete_90pct,11,independent,0.8821960607008457,0.8515625,2
p20,Road,vertex_delete_50pct,12,independent,0.9121165873524576,0.8916015625,0
p20,Road,object_delete_90pct,12,independent,0.8944285436338969,0.8671875,1
p20,Road,vertex_delete_50pct,13,independent,0.903021808940908,0.880859375,0
p20,Road,object_delete_90pct,13,independent,0.8795267775453549,0.84765625,1
baseline,Railways,no_attack,0,independent,1.0,1.0,0
baseline,Railways,compound_main,0,independent,0.9360837420717976,0.9208984375,0
baseline,Railways,compound,11,independent,0.9426799397659644,0.9296875,0
baseline,Railways,compound,12,independent,0.9341795165838522,0.9189453125,0
baseline,Railways,compound,13,independent,0.9200265782197398,0.9033203125,0
baseline,Railways,compound_main,0,correlated,0.9289849677991016,0.9130859375,0
baseline,Railways,compound,11,correlated,0.9233273706117646,0.9052734375,0
baseline,Railways,compound,12,correlated,0.9410875750028462,0.927734375,0
baseline,Railways,compound,13,correlated,0.9205487430796906,0.9033203125,0
baseline,Railways,vertex_delete_50pct,11,independent,0.9928769101909564,0.9912109375,0
baseline,Railways,object_delete_90pct,11,independent,0.930134911778374,0.9130859375,13
baseline,Railways,vertex_delete_50pct,12,independent,0.9880248219566394,0.9853515625,0
baseline,Railways,object_delete_90pct,12,independent,0.9331848370499786,0.916015625,4
baseline,Railways,vertex_delete_50pct,13,independent,0.9928631194931944,0.9912109375,0
baseline,Railways,object_delete_90pct,13,independent,0.9515810868054408,0.939453125,6
q01,Boundary,no_attack,0,independent,0.9992072927806908,0.9990234375,0
q01,Boundary,compound_main,0,independent,0.8276131125902255,0.7939453125,0
q01,Boundary,compound,11,independent,0.8192262156583583,0.779296875,0
q01,Boundary,compound,12,independent,0.8360378174685943,0.8017578125,0
q01,Boundary,compound,13,independent,0.8133932895330419,0.7763671875,0
q01,Boundary,compound_main,0,correlated,0.820959222567311,0.7841796875,0
q01,Boundary,compound,11,correlated,0.8130089830729899,0.7734375,0
q01,Boundary,compound,12,correlated,0.8418281699367502,0.8076171875,0
q01,Boundary,compound,13,correlated,0.8334629043079289,0.7998046875,0
q01,Boundary,vertex_delete_50pct,11,independent,0.8854386883594911,0.861328125,0
q01,Boundary,object_delete_90pct,11,independent,0.8650443829549491,0.83203125,0
q01,Boundary,vertex_delete_50pct,12,independent,0.9024702345810308,0.8818359375,0
q01,Boundary,object_delete_90pct,12,independent,0.8573895696146591,0.8232421875,0
q01,Boundary,vertex_delete_50pct,13,independent,0.8769927240981717,0.8505859375,0
q01,Boundary,object_delete_90pct,13,independent,0.8603174603174604,0.828125,0
p40,Landuse,no_attack,0,independent,0.9992060340153568,0.9990234375,0
p40,Landuse,compound_main,0,independent,0.9044833199892948,0.8837890625,0
p40,Landuse,compound,11,independent,0.9089642432508552,0.888671875,0
p40,Landuse,compound,12,independent,0.9096958041284304,0.8896484375,0
p40,Landuse,compound,13,independent,0.9090509481726678,0.8896484375,0
p40,Landuse,compound_main,0,correlated,0.91078510429278,0.8916015625,0
p40,Landuse,compound,11,correlated,0.914366926862106,0.8955078125,0
p40,Landuse,compound,12,correlated,0.9188309091010204,0.9013671875,0
p40,Landuse,compound,13,correlated,0.9015199151095312,0.8779296875,0
p40,Landuse,vertex_delete_50pct,11,independent,0.953968253968254,0.943359375,0
p40,Landuse,object_delete_90pct,11,independent,0.9425945216446106,0.9296875,24
p40,Landuse,vertex_delete_50pct,12,independent,0.9674347769719432,0.9599609375,0
p40,Landuse,object_delete_90pct,12,independent,0.9424301582476036,0.9296875,25
p40,Landuse,vertex_delete_50pct,13,independent,0.9620301335550298,0.953125,0
p40,Landuse,object_delete_90pct,13,independent,0.9481392970320728,0.9365234375,15
full40,Landuse,no_attack,0,independent,0.9992060340153568,0.9990234375,0
full40,Landuse,compound_main,0,independent,0.9216178018040456,0.9033203125,0
full40,Landuse,compound,11,independent,0.9072290317935336,0.88671875,0
full40,Landuse,compound,12,independent,0.9208906870543212,0.90234375,0
full40,Landuse,compound,13,independent,0.9142437475897476,0.8955078125,0
full40,Landuse,compound_main,0,correlated,0.9172217481393724,0.8994140625,0
full40,Landuse,compound,11,correlated,0.9202657174093744,0.90234375,0
full40,Landuse,compound,12,correlated,0.927388773696354,0.9111328125,0
full40,Landuse,compound,13,correlated,0.902773850375544,0.8798828125,0
full40,Landuse,vertex_delete_50pct,11,independent,0.9610805255632604,0.9521484375,0
full40,Landuse,object_delete_90pct,11,independent,0.93967287465224,0.9248046875,25
full40,Landuse,vertex_delete_50pct,12,independent,0.9634352398207574,0.955078125,0
full40,Landuse,object_delete_90pct,12,independent,0.9370592297181646,0.9228515625,27
full40,Landuse,vertex_delete_50pct,13,independent,0.9517049809007414,0.9404296875,0
full40,Landuse,object_delete_90pct,13,independent,0.9417614785813244,0.927734375,15
p40,Railways,no_attack,0,independent,1.0,1.0,0
p40,Railways,compound_main,0,independent,0.954042402499242,0.943359375,0
p40,Railways,compound,11,independent,0.9442723045290824,0.931640625,0
p40,Railways,compound,12,independent,0.937809777879917,0.923828125,0
p40,Railways,compound,13,independent,0.934429902235315,0.919921875,0
p40,Railways,compound_main,0,correlated,0.9479264119746328,0.9365234375,0
p40,Railways,compound,11,correlated,0.9356635199285296,0.9208984375,0
p40,Railways,compound,12,correlated,0.9444455943289858,0.9326171875,0
p40,Railways,compound,13,correlated,0.9313289170742508,0.916015625,0
p40,Railways,vertex_delete_50pct,11,independent,0.9928365648204364,0.9912109375,0
p40,Railways,object_delete_90pct,11,independent,0.9517860909388396,0.9404296875,13
p40,Railways,vertex_delete_50pct,12,independent,0.9928365648204364,0.9912109375,0
p40,Railways,object_delete_90pct,12,independent,0.9551891960328662,0.9443359375,4
p40,Railways,vertex_delete_50pct,13,independent,0.9944403454588449,0.9931640625,0
p40,Railways,object_delete_90pct,13,independent,0.9580391238684668,0.9482421875,6
p20,Railways,no_attack,0,independent,1.0,1.0,0
p20,Railways,compound_main,0,independent,0.9492063492063492,0.9375,0
p20,Railways,compound,11,independent,0.9374588563774604,0.923828125,0
p20,Railways,compound,12,independent,0.9367135510930552,0.921875,0
p20,Railways,compound,13,independent,0.9385621324155872,0.9248046875,0
p20,Railways,compound_main,0,correlated,0.9386528678639438,0.9248046875,0
p20,Railways,compound,11,correlated,0.9332285243808328,0.91796875,0
p20,Railways,compound,12,correlated,0.941510666377512,0.9287109375,0
p20,Railways,compound,13,correlated,0.9343946507389604,0.9189453125,0
p20,Railways,vertex_delete_50pct,11,independent,0.991251828670871,0.9892578125,0
p20,Railways,object_delete_90pct,11,independent,0.9493718423240426,0.9375,12
p20,Railways,vertex_delete_50pct,12,independent,0.9920368738797762,0.990234375,0
p20,Railways,object_delete_90pct,12,independent,0.9438652249561708,0.9296875,4
p20,Railways,vertex_delete_50pct,13,independent,0.9872661531332736,0.984375,0
p20,Railways,object_delete_90pct,13,independent,0.9572832743434097,0.947265625,6
full40,Road,no_attack,0,independent,1.0,1.0,0
full40,Road,compound_main,0,independent,0.8438889518941194,0.810546875,0
full40,Road,compound,11,independent,0.8468784188199766,0.8134765625,0
full40,Road,compound,12,independent,0.8565020372156582,0.8251953125,0
full40,Road,compound,13,independent,0.8450445876131639,0.8125,0
full40,Road,compound_main,0,correlated,0.8637518750123218,0.8330078125,0
full40,Road,compound,11,correlated,0.836259767552043,0.8037109375,0
full40,Road,compound,12,correlated,0.847621536199017,0.81640625,0
full40,Road,compound,13,correlated,0.848944819009806,0.81640625,0
full40,Road,vertex_delete_50pct,11,independent,0.9035928286568016,0.8818359375,0
full40,Road,object_delete_90pct,11,independent,0.8865311829446332,0.8583984375,2
full40,Road,vertex_delete_50pct,12,independent,0.905911486115294,0.884765625,0
full40,Road,object_delete_90pct,12,independent,0.9071147352221454,0.884765625,1
full40,Road,vertex_delete_50pct,13,independent,0.904463185451128,0.8828125,0
full40,Road,object_delete_90pct,13,independent,0.8645937320086073,0.83203125,1
q01,Lake,no_attack,0,independent,1.0,1.0,0
q01,Lake,compound_main,0,independent,0.8594424654990512,0.828125,0
q01,Lake,compound,11,independent,0.8409005628573194,0.80859375,0
q01,Lake,compound,12,independent,0.8418281699367502,0.8076171875,0
q01,Lake,compound,13,independent,0.8480563300875238,0.81640625,0
q01,Lake,compound_main,0,correlated,0.8730625695498574,0.845703125,0
q01,Lake,compound,11,correlated,0.8588022057567488,0.828125,0
q01,Lake,compound,12,correlated,0.8375024566530322,0.8017578125,0
q01,Lake,compound,13,correlated,0.8660386214095153,0.8359375,0
q01,Lake,vertex_delete_50pct,11,independent,0.9140034262160762,0.8955078125,0
q01,Lake,object_delete_90pct,11,independent,0.8898558159608249,0.8623046875,6
q01,Lake,vertex_delete_50pct,12,independent,0.9163419338230352,0.8974609375,0
q01,Lake,object_delete_90pct,12,independent,0.8840079964714239,0.8544921875,1
q01,Lake,vertex_delete_50pct,13,independent,0.9027216569388318,0.880859375,0
q01,Lake,object_delete_90pct,13,independent,0.8864180715112386,0.8603515625,0
baseline,Road,no_attack,0,independent,0.9992072927806908,0.9990234375,0
baseline,Road,compound_main,0,independent,0.8287178952487311,0.7919921875,0
baseline,Road,compound,11,independent,0.8295006573401608,0.7900390625,0
baseline,Road,compound,12,independent,0.8441465458344661,0.8095703125,0
baseline,Road,compound,13,independent,0.8248449472952188,0.78515625,0
baseline,Road,compound_main,0,correlated,0.8425477834370524,0.8076171875,0
baseline,Road,compound,11,correlated,0.8336940056433746,0.80078125,0
baseline,Road,compound,12,correlated,0.8226965990500855,0.7880859375,0
baseline,Road,compound,13,correlated,0.8125375627008361,0.771484375,0
baseline,Road,vertex_delete_50pct,11,independent,0.8885395378199461,0.86328125,0
baseline,Road,object_delete_90pct,11,independent,0.8645937320086073,0.83203125,2
baseline,Road,vertex_delete_50pct,12,independent,0.8728775036767419,0.845703125,0
baseline,Road,object_delete_90pct,12,independent,0.8962812299331441,0.8720703125,1
baseline,Road,vertex_delete_50pct,13,independent,0.8993793830408288,0.876953125,0
baseline,Road,object_delete_90pct,13,independent,0.8639354603891503,0.830078125,1
p40,Road,no_attack,0,independent,1.0,1.0,0
p40,Road,compound_main,0,independent,0.8645217192120594,0.8349609375,0
p40,Road,compound,11,independent,0.8422778532997617,0.8095703125,0
p40,Road,compound,12,independent,0.8505916672891308,0.8193359375,0
p40,Road,compound,13,independent,0.854898100816378,0.8232421875,0
p40,Road,compound_main,0,correlated,0.8657667544330199,0.8349609375,0
p40,Road,compound,11,correlated,0.8467012726984854,0.8154296875,0
p40,Road,compound,12,correlated,0.8452712443060449,0.8125,0
p40,Road,compound,13,correlated,0.8473574784401227,0.8154296875,0
p40,Road,vertex_delete_50pct,11,independent,0.9092482890950344,0.8876953125,0
p40,Road,object_delete_90pct,11,independent,0.8869263683935363,0.8583984375,2
p40,Road,vertex_delete_50pct,12,independent,0.920509907353496,0.90234375,0
p40,Road,object_delete_90pct,12,independent,0.908232395823334,0.88671875,1
p40,Road,vertex_delete_50pct,13,independent,0.9050420562578876,0.8837890625,0
p40,Road,object_delete_90pct,13,independent,0.8582763721267918,0.8251953125,1
p20,Building,no_attack,0,independent,0.9872521301150828,0.984375,0
p20,Building,compound_main,0,independent,0.9119749100776148,0.8916015625,0
p20,Building,compound,11,independent,0.9056991084077968,0.8857421875,0
p20,Building,compound,12,independent,0.9138411305027396,0.8935546875,0
p20,Building,compound,13,independent,0.8917886379998239,0.8681640625,0
p20,Building,compound_main,0,correlated,0.9277142400119774,0.91015625,0
p20,Building,compound,11,correlated,0.9203868330823098,0.90234375,0
p20,Building,compound,12,correlated,0.9125525014832492,0.8916015625,0
p20,Building,compound,13,correlated,0.9066501094194608,0.884765625,0
