profile,attack,noise_mode,count,mean,std
baseline,compound,correlated,18,0.8723793731975507,0.04011521164883027
baseline,compound,independent,18,0.8734431664228558,0.035828443717459475
baseline,compound_main,correlated,6,0.8807603637530361,0.043393572876041266
baseline,compound_main,independent,6,0.8679700517712582,0.05010721651936234
baseline,no_attack,independent,6,0.9974768803823437,0.00541700805378913
baseline,object_delete_90pct,independent,18,0.898258914821598,0.03261973733045799
baseline,vertex_delete_50pct,independent,18,0.9224353083967125,0.03638024650232173
full40,compound,correlated,18,0.891905730887977,0.03797834236539819
full40,compound,independent,18,0.892489856307064,0.03518864113209238
full40,compound_main,correlated,6,0.8950668204791806,0.04684147545242917
full40,compound_main,independent,6,0.8891181462515743,0.04701653974149752
full40,no_attack,independent,6,0.998010758651958,0.004494897520639133
full40,object_delete_90pct,independent,18,0.9169002454158854,0.03316376886155561
full40,vertex_delete_50pct,independent,18,0.9367266445455016,0.03440984322723403
long,compound,correlated,18,0.8880542734596197,0.04289745756032718
long,compound,independent,18,0.8900222295532172,0.04059852490830689
long,compound_main,correlated,6,0.8932604446951,0.04931122320219357
long,compound_main,independent,6,0.8917354200179837,0.03802388224203109
long,no_attack,independent,6,0.9977430273550733,0.005149272093565527
long,object_delete_90pct,independent,18,0.9162856701448996,0.031203882158528026
long,vertex_delete_50pct,independent,18,0.938861010289274,0.03260651584057795
p20,compound,correlated,18,0.8794456454287547,0.04292914572245392
p20,compound,independent,18,0.8802952116712847,0.03983931691130372
p20,compound_main,correlated,6,0.888473598313765,0.04242378479493793
p20,compound_main,independent,6,0.881839680344812,0.04720149195873425
p20,no_attack,independent,6,0.9974784770905231,0.005049943132719295
p20,object_delete_90pct,independent,18,0.9115500446315016,0.03106941166551297
p20,vertex_delete_50pct,independent,18,0.9316553002708733,0.03174244369416333
p40,compound,correlated,18,0.8904877633218119,0.03549379604362619
p40,compound,independent,18,0.8898437959865473,0.03396575284150923
p40,compound_main,correlated,6,0.8993172109189262,0.04030428675217918
p40,compound_main,independent,6,0.8938655455563023,0.04304251932470766
p40,no_attack,independent,6,0.9978750306026866,0.004826588259145361
p40,object_delete_90pct,independent,18,0.9186319820926772,0.03174585845450904
p40,vertex_delete_50pct,independent,18,0.9391319016581277,0.032078098583713216
q01,compound,correlated,18,0.8766817395295897,0.043866999221721215
q01,compound,independent,18,0.8743054203349936,0.045333961408914374
q01,compound_main,correlated,6,0.8875972611871471,0.04578662572293397
q01,compound_main,independent,6,0.877042760887169,0.046088309097917494
q01,no_attack,independent,6,0.9988095760082499,0.0017923297679685586
q01,object_delete_90pct,independent,18,0.9037879595856944,0.03415375619106744
q01,vertex_delete_50pct,independent,18,0.9228831951376019,0.03608037871139914
